Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
1,"20130901","老地方展新魅力—台東部落逍遙遊","魯凱族、排灣族","臺東縣金峰鄉、太麻里鄉、卑南鄉、臺東市","","一日遊：屏東縣→達仁鄉→大武鄉→多良向陽薪傳木工坊→金崙溫泉→88希望文創園區→千禧曙光紀念公園→嘉蘭部落（嘉蘭國小、嘉蘭第一基地）→撒布優部落（八大頭目巡禮、原愛布、木工坊）→知本溫泉區（知本森林遊樂區）→知本火車站","","一個太陽"," 多良火車站／多良向陽薪傳木工坊    沿著浩瀚太平洋與海岸山脈，多良火車站原為南迴線上供單線列車交會之用，雖然2006年已廢站，但採架高設計的車站可鳥瞰太平洋、欣賞綿延的山勢，被鐵道迷譽為「臺灣最美的火車站」。車站上方的多良向陽薪傳木工坊，是大溪國小多良分校舊址，培訓部落青年以漂流木製作文創工藝品，是創意發想基地。 大武山、金崙溫泉:中央山脈主脊最南端的大武山是臺灣五嶽之一，被魯凱族與排灣族視為祖靈居住地；山下的大武山自然教育中心，提供詳細的生態導覽，讓旅客深度瞭解大武山的重要生態資源。再往山裡去，可遇見金崙溪旁的金崙溫泉，只見河床旁冒出滾滾熱泉與冰涼溪水形成奇特景觀；泉水屬弱鹼性碳酸氫鈉泉，無色透明且稍帶硫磺味，洗後膚質滑嫩。 達魯瑪克部落    達魯瑪克（Taromak）是魯凱族群居的東興村，也是臺東縣內唯一的魯凱族生活區，又稱大南魯凱，其特殊的族群文化藝術展現，適合安排一至兩天的部落文化探訪。體驗方式多元，可從守護神祈福、參觀火災紀念碑、東魯凱文物館開始，沿著部落內的桑樹溪，認識荷蘭人與達魯瑪克歷史，再前往頭目家屋、祖靈屋，品嚐魯凱族風味餐，或者是體驗手工藝、衣飾文化、小米農耕與採集文化等。二日遊為預約制，務必事先預約才能享受美好行程。","","","","","","","2013年60條原住民族深度旅遊路線"
2,"20130901","花東縱谷單車人文旅行-鄉村、溫泉、部落","阿美族、撒奇萊雅族、布農族、卑南族","花蓮縣、台東縣","","第一天：花蓮火車站德固灣撒奇萊雅文化廣場、撒奇萊雅酒莊吉安鄉七腳川部落慶修院(七腳川事件與日本移民村）東華大學鳳林老樹光復糖廠校長夢工廠-馬太鞍部落紅瓦屋石煮野菜、下午茶富源（拔仔庄）瑞穗溫泉SPA【早餐：自理  午餐：便當＋水果 晚餐：瑞穗在地美食 (公里數:約90公里)】第二天：瑞穗泛舟遊客中心（單車學校）瑞穗大橋麻汝稻田鄉間小路高寮(赤科山金針花與火龍果)東豐社區有機田 長良古風社區(布農族部落)富里農會花海大波國小池上斷層伯朗咖啡大道關山環鎮自行車道分享之夜（單車VCR）【早餐：自助式早餐  午餐：便當＋水果　 晚餐：關山在地美食(公里數:約90公里)】第三天：武陵綠色隧道永安部落（武陵外役監與峽谷斷橋）龍田移民村、躺馬路(阿度導覽解說)高臺茶園、飛行傘基地鹿鳴橋(紅業村與紅葉少棒的故事)龍過脈部落卑南文化公園(卑南文化遺址)琵琶壺、活水湖、南島文化公園臺東火車站（機場）【早餐：自助式早餐  午餐：愛嬌姨茶餐  晚餐：卑南包子或鐵頭大魚丸燒(公里數:約55公里)】","","三個太陽二個月亮"," 花東縱谷線    如德固灣撒奇萊雅文化廣場、撒奇萊雅酒莊+吉安鄉七腳川部落+慶修院(七腳川事件與日本移民村）、大波國小池上斷層、關山環鎮自行車道、永安部落（武陵外役監與峽谷斷橋）、龍田移民村、高臺茶園、飛行傘基地、卑南文化公園(卑南文化遺址)等","","","","","","","2013年60條原住民族深度旅遊路線"
3,"20130901","阿美族巴歌浪舞動之夜~水梯田海稻米、米粑流藝術村","阿美族、太魯閣族、噶瑪蘭族、撒奇萊雅族","花蓮縣鳳林鎮、豐濱鄉、新城鄉","","第一天：花蓮火車站→箭瑛大橋(1977年兩位老師的故事) →海岸山脈的桃花源→吉拉卡樣(山興部落) →太巴塱阿美族發源地(阿美族祖源與史前石器文物) →沙娃綠岸下午茶+頸環DIY→阿美族巴歌浪舞動之夜【早餐：自理  午餐：「山興部落廚房野菜饗宴」或「四代務農餐坊」  晚餐：「沙娃綠岸」或「陶甕春天百合」或「升火工作室」】第二天：水梯田海稻米的天空與幸福(找回土地的生命，找回人與人互動的心，當花東海岸土地不斷被BOT、政府徵收、族人賣地，68戶居民約定不要休耕、不要賣地) →米粑流藝術村(駐村藝術家創作分享) →新社部落(噶瑪蘭族)-葛都桑音樂工作室+獵人學校→有臺灣原住民LV包品牌之稱的Yuli Taki工作妨→花蓮(新城)火車站【早餐：部落早餐  午餐：櫻花田野養生無毒農業火鍋餐  晚餐：自理】","","兩個太陽一個月亮"," 米粑流藝術村新微型產業 部落自主散發魅力：林務局表示，石梯坪水梯田溼地特色農產品，已逐漸形成完整的部落微型產業鏈。獨立工作者夏黎明在〈新微型產業 東台灣出路〉所稱的「新微型產業」，也很適合用來形容港口部落。http://e-info.org.tw/node/81746花蓮縣豐濱鄉石梯坪，這片海岸山脈與太平洋環抱的這片水田大地，在港口部落邦查農民與藝術家，以及林務局保育組、花蓮農改場專家的合作下，像是畫布一般，重新妝點起金黃的稻穗、流動的活水、港口邦查的技藝，與互助合作的米粑流精神。http://www.newsmarket.com.tw/blog/21332/ 葛都桑音樂工作室+獵人學校    流落時空的紋面戰士─彼得洛．烏嘎:因為家庭因素，彼得洛．烏嘎從小生長在台北烏來山區。就其生命歷程而論，與其討論其所僅受的三年國民教育，勿寧訴說其所讀的書─一本台灣山林與精靈的生態之書。學習狩獵技巧，與當地紋面長者成為「忘年獵友」是他成長的山林生活。他就如此耳濡目染，浸淫在高山紋面民族的文化當中。及至青春期階段，因經濟考量，曾在台北木雕工坊當過年餘學徒，習得木雕的技巧。成年後在親友的鼓勵下參加台視五燈獎歌唱競賽。出乎意料的驚喜發生了，族語比國語流利的彼得洛終於獲得國語演唱五度五關擂臺冠軍。    但是彼得洛．烏嘎沒有因此踏入演藝圈，反而本著尋根的心念回到故鄉佳民村。他一方面繼續從事游泳池救生員工作，另一方面進行文化復振工作，成立葛都桑音樂工作室（「葛都桑」的意思是復活、重生或歷劫餘生，此名稱的由來取自發生在佳民村的歷史事件），並擔任工作室負責人。http://tw.streetvoice.com/writing/sjdelo/article/1316415/","","","","","","","2013年60條原住民族深度旅遊路線"
4,"20130901","南臺灣原鄉部落騎遇記(挑戰級)","排灣族","高雄市、屏東縣","","第一天：高鐵左營站專車接送美濃人字山莊→109線道美濃自行車道→鍾理和紀念館→東門樓→美濃自行車道→竹子門發電廠→新威森林→新威大橋→大津橋→高樹鄉自行車道→青山部落→馬兒部落→沿山自行車道(南臺灣著名最挑戰車道) →達卡蘭部落(綠色隧道、頭目家族文物館) →賽嘉部落→三地門地摩兒水門之夜【早餐：自理  午餐：美濃美綠緣生態農場客家風味  晚餐：排灣族勇士宴】《公里數:約70公里》第二天：藝術家參訪(排灣族貴族贈送幸運之珠) →涼山部落→185線道→吉貝木棉林→泰武國小(古謠傳唱隊)、吾拉魯姿部落→萬金天主堂→來義國小→古樓(伏流水工程) →屏鵝公路→車城→琉球番民墓→四重溪溫泉→分享之夜(單車VCR)【早餐：自助早餐  午餐：便當+水果  晚餐：洋蔥+鴨蛋風味餐或排灣族BBQ】《公里數：約105公里》第三天：石門古戰場→牡丹水庫→牡丹國小→199線道→旭海村→26線道→九鵬永久屋基地→港仔村→響林村→長興國小滿洲鄉(人文古厝、海角七號場景)→風吹砂→鵝巒鼻國境之南→統一渡假村梳洗→恆春專車接送高雄左營站【早餐：自助早餐  午餐：便當+鮮魚湯+水果  晚餐：便當(包子)】《公里數：約80公里》","","三個太陽二個月亮"," 新威森林    新威森林公園位於台28線45km處，在荖濃溪西岸的台地上，本為荖濃溪舊河床的一部份，後來因土質優良而建為苗圃，居民稱為「坪頂」。佔地30甲，以種植樹苗為主，培植的樣種多達 200餘種，為全台最大的苗圃之一。現已改為森林公園，由茂林國家風景區管理處經營。裡面樹林成蔭，春夏綠意盎然，其中以桃花心木、竹子、杉木最多。其中有一條桃花心木大道，周邊綠樹成陰，冬末初春時，桃花心木的綠葉會呈現紅黃色，加上鋪滿小徑的落葉，景色顯得詩情畫意。 那成排的林木所延伸而成的天然長廊，有著異國風情，常吸引許多情侶前來散步，也是許多新人拍攝婚紗指定的地點。 沿山自行車道：南臺灣著名最挑戰車道。 石門古戰場    位於屏東縣牡丹鄉與車城鄉交界處，距離四重溪東北方大約3公里，是恆春半島歷史景點之一。清同治10年（1871年)，琉球國船隻漂流至今日牡丹鄉附近，琉球船員被當地原住民殺害，即宮古島民台灣遇害事件，當時琉球國同時向清朝和日本朝貢，故日本政府派兵前往事發地點，遂於1874年以「懲辦凶手」為由向當地原住民交戰之處。 長興國小滿洲鄉：人文古厝、海角七號場景。","","","","","","","2013年60條原住民族深度旅遊路線"
5,"20130901","茂林紫斑蝶禮納里部落體驗二日遊","魯凱族排灣族","屏東縣三地門鄉、瑪家鄉","","第一天：台北火車站→禮納里原住民風味餐→禮納里好茶部落（好茶、瑪家、大社）巡禮專人導覽→三地門（工藝步道、地磨兒公園、文化館、琉璃珠DIY）→夜宿六龜第二天：十八羅漢山→茂林生態公園賞紫斑蝶→茂林風味午餐→新威大橋、新威森林公園","","兩個太陽一個月亮"," 茂林生態園區    當冬日清晨，第一道屬光降臨於茂林紫蝶幽谷時，我們發現沉睡中的紫斑蝶被喚醒，並開始熱烈的追逐這娜穿透樹冠、林間投射的光線，食而一動也不動的展示著他的幻色彩衣，時而高高低低的在山谷裡穿梭飛行，不僅為遊客提供一個最佳的生態旅遊去處之外，也為冬日帶來些許暖意。 禮納里部落    由世界展望會主導的部落，分別安置來屏東瑪家村、三地門鄉大社村、與霧台鄉好茶村三部落，有近一千五百位居民。其中瑪家村運用百步蛇圖騰與陶甕藝品的文化元素設計部落的入口處。 三地門鄉文化館    排灣族人認為琉璃珠具有天神與祖靈的力量，常做為結婚的聘禮、喪葬的陪葬品，更是頭目的傳家寶。珠上的圖案有不同的象徵，其中的勇士之珠則為頭目賦與男性的英勇的表徵。","","","","","","","2013年60條原住民族深度旅遊路線"
6,"20130901","苗栗泰雅原鄉產業一日遊","泰雅族","苗栗縣","","一日遊：苗栗泰安鄉→司馬限市集→麥路豐市集→麻必浩市集→士林部落市集→士林水壩→泰雅染織文化園區、野桐工坊→象鼻部落巡禮→往卓蘭方向賦歸【早餐：自理  午餐：多乃雕刻工作坊】","",""," 士林水壩    「士林水壩」位於台中縣桃山部落通往泰安鄉士林村的入口，士林水壩不單純是攔沙壩，也可供發電廠發電，並放流水注入鯉魚潭水庫，作為下游的民生用水。而上遊與鄰近山頭互相輝映，湖光山色令人心曠神怡，大壩旁設有全國首座生態魚梯魚道。 泰雅染織文化園區、野桐工坊    工坊以傳統服飾研究分析及製作為主要內容，其他生活織品織研發與製作販售為輔，工坊創辦人尤瑪.達陸也參加公共藝術創作。 泰安鄉部落假日市集    不同於一般傳統攤商市集的氛圍，苗栗縣泰安鄉部落假日市集主要推廣優質、特色的部落產業，發揮原民傳統互助與共享的精神，帶動部落整體觀光產業發展。","","","","","","","2013年60條原住民族深度旅遊路線"
7,"20130901","烏來福山部落悠遊行~溪流德拉楠．巧遇馬告香","泰雅族","新北市","","一日遊:烏來出發 → 五重溪瀑布 → 水圳步道散步趣 →蝴蝶公園→部落餐坊(中餐) →大羅蘭溪畔品馬告→福山國小→部落巡禮→慕懷樹.斯卡蓋搭啦，返回烏來","","一個太陽"," 五重溪瀑布    瀧瀧水流聲在山谷裡響動，山壁內凹處一瀲白泉在重重岩層中舞動，五重溪溪水在公路旁層疊而下，水龍穿越馬路直下南勢溪溪谷，隱入深深谷中，「蘭吼」之名似乎更貼切水勢之實；柔水日日雕琢著山石，二者歷經多少歲月拉鋸，才琢磨出今日的模樣？且停停腳步，聆聽天上之水與萬古岩層的對話。 水圳步道散步趣-蝴蝶公園    大羅蘭溪左岸有條清澈水流，最早是日治時期開鑿的水圳，為的是教導泰雅族人種植水稻，如今部落裡不見水田，水圳依然暢流，滋潤圳邊土地，豐饒的養分成了蜻蜓、蝴蝶、青蛙及溪谷環境植物的樂活天堂，綠意遮蔭的步道十分平坦，行走一趟，習族人的智慧，享天然的SPA。 福山國小    迷你的幸福小學，座落在青山懷抱中；百年的小學校，與泰雅文化息息相關，Yavi.Puna「亞維‧布納」在校園裡守護著祂的子民；校門口有個小小的生態園區，有池有瀑，遍植水、陸生植物，蛙鳴不斷，園中藏著幾座雕塑，泰雅的傳統文化就刻印在巨石上。 李茂岸「rmuang」部落巡禮    李茂岸「rmuang」，眾人聚集之地；三溪匯流的沖積地，是山中難得的平坦地，日治時期水田畦畦，曾是烏來地區勢力最大的部落，也是昔時宜蘭、桃園、烏來泰雅部落的社交聚集地。今日，幾排簡單的屋子，或開或休的雜貨店，分屬天主堂、長老教會的教堂，寧靜悠閒地讓人不禁佇足，彷彿時間就此凝結，放慢腳步，在這裡，享受簡單慢活的幸福。","","","","","","","2013年60條原住民族深度旅遊路線"
8,"20130901","探尋祕境禮納里部落二日遊","魯凱族排灣族","屏東縣","","第一天：台北火車站→(中餐)禮納里風味餐→禮納里部落專人導覽→吾拉魯茲部落（咖啡產業館、泰小石板屋）→原住民風味晚餐→夜宿泰武(太武山+逍遙山莊)第二天：泰武部落專人導覽→三地門鄉(工藝步道、地磨兒公園、文化館、琉璃珠DIY)→三地門風味午餐→賦歸","","兩個太陽一個月亮"," 禮納里部落    由世界展望會主導的部落，分別安置來屏東瑪家村、三地門鄉大社村、與霧台鄉好茶村三部落，有近一千五百位居民。其中瑪家村運用百步蛇圖騰與陶甕藝品的文化元素設計部落的入口處。 三地門鄉文化館    排灣族人認為琉璃珠具有天神與祖靈的力量，常做為結婚的聘禮、喪葬的陪葬品，更是頭目的傳家寶。珠上的圖案有不同的象徵，其中的勇士之珠則為頭目賦與男性的英勇的表徵。 吾拉魯茲部落    吾拉魯茲部落永久屋座落在萬巒鄉新赤農場，開發總面積約10.08公頃，由紅十字會元件118戶，住要安置泰武村民，歷時8個月終於完工，分為28坪及34坪二種坪數，採單斜面屋頂和仿石板搭配設計，融合菱形圓形瑩在當地原住民建築特色。","","","","","","","2013年60條原住民族深度旅遊路線"
9,"20130901","渡邊吉海秧~大農大富平地森林單車遊","阿美族","花蓮縣光復鄉、壽豐鄉","","第一天：花蓮火車站→馬太鞍溪無毒農場→大農大富平地森林單車遊→太巴塱部落祖靈屋(祭祀祖先、太陽神、月亮神)、沙娃衣冠塚與馬佛古戰場(卑南族與太巴塱、奇美阿美族人近200人，為營救阿美族沙娃公主引起事件)→「大地廚房」大灶飯與稻草桶仔雞→「迎賓之夜」歌舞或「阿道行動藝術」【早餐：自理  午餐：渡邊吉海秧  晚餐：阿山大地廚房】第二天：小農謝新福家「穀倉旁的新米早餐」→體驗馬佛教會原住民語禮拜→加里洞部落(小農米場與香茅油廠參觀體驗)→鳳林日式煙樓-鯉魚潭樹屋下午茶→慶修院(七腳川事件與日本移民村) →花蓮火車站【早餐：自理  午餐：山興部落廚房或月蘆客家風味餐  晚餐：自理】","","兩個太陽一個月亮"," 馬太鞍溪無毒農場~回家種田    阿昌五年前從臺北返鄉(太巴塱)，利用家鄉豐沛水源和純淨的水質，投入無毒農業的發展，用有機肥改變土壤的酸鹼值，休耕期間灑下油麻菜種仔當堆肥，大片的油菜花田倒成了過年期間的花海，經4~5年改良，栽培出高纖維低熱量的養生米。","","","","","","","2013年60條原住民族深度旅遊路線"
10,"20130901","嘎色鬧泰雅農夫~竹頭角木琴樂舞一日遊","泰雅族","桃園縣","","一日遊：桃園縣復興鄉→桃園縣原住民文化會館→樂信瓦旦紀念公園→嘎色鬧部落廚房風味餐→嘎色鬧部落有機蔬果DIY→竹頭角泰雅木琴樂舞展演→那山咖啡下午茶(迪瓦斯的故事)→斯嘎蓋打啦(回程)","","一個太陽"," 桃園縣原住民文化會館每周演出5天的駐館皆有原住民歌舞表演團隊表演迎賓歌舞，並可與原住民駐村藝術家互動，由藝術家創作解說如:泰雅紋面與織布藝術 樂信瓦旦紀念公園紀念白色恐怖時代泰雅族政治受難者，樂信‧瓦旦(漢名林瑞昌)是泰雅族人，是戰後第一位山地籍省議員、是泰雅族領袖、也是最早受現代醫學教育的泰雅族人，在交替的年代與鄒族鄉長高一生一樣在白色恐怖時代，被犧牲了，記錄了重要的歷史見證。 嘎色鬧部落    嘎色鬧以豐富的自然資源為傲，尤其是在冬天時節，常常被山嵐霧氣所籠罩，因此孕育著豐富的野生動物以及獨特的山林植物，在教會牧師帶領下居民自行栽種蔬果農作，包含五月桃、綠竹筍、高山蔬菜、生薑…等，提供就近都會友人農夫耕植體驗樂趣。 竹頭角部落    泰雅族的古老傳說您聽過嗎？從不會看譜到會看豆芽樂譜，樂團們僅花兩個月就學會，竹頭角部落的美景，竹頭角木琴樂舞，等著您來鑑賞。    竹頭角部落」的地理環境:東邊群山環抱，西邊緊臨石門水庫。用山光水色、美不勝收來形容「竹頭角部落」的美，好像還不夠道盡她的ㄧ切！部落裡住著一群泰雅族人,原本知命惜福的快樂居住在此，因政府興建石門水庫工程，住在水庫集水區的族人被迫遷村，離開了世代居住的家園 ! 經過數次部落會議廣泛的討論，族人們取得共識認為:「竹頭角部落」的未來，應該要以泰雅文化元素發展休閒、遊憩觀光產業，來成為部落居民未來生活主要的經濟命脈，如此才能達到在地就業、並永續就業的目的。因此，族人們開始對部落環境產生關心，引發起如何讓部落產業再造並落實的念頭與決心。凝聚部落居民向心力，來建立善良、溫馨的人際關係及生活環境品質的提昇，透過居民對公共事務的關心，來營造清潔、舒適的生活環境、進一步要來創造部落文化、休閒、遊憩產業的特色，增加部落活力，讓大家共同的夢想早日實現。因此泰雅文化、生活全方位體驗園區建置計畫，是竹頭角部落居民努力執行的重點。","","","","","","","2013年60條原住民族深度旅遊路線"
11,"20130901","學習土地倫理~巒山森林博物館","布農族","臺東縣延平鄉、海端鄉","","第一天：海端鄉(布農族文物館) →拉瑪達星星雕塑像(布農族抗日英雄) →-南橫東段精華(霧鹿部落、古炮臺、霧鹿國小、霧鹿事件) →霧鹿古道、溫泉→延平鄉紅葉少棒紀念館→布農部落→鸞山森林博物館→夜間觀察、大自然的交響樂章【早餐：自理  午餐：天龍飯店  晚餐：森林博物館(自己劈柴煮飯)】第二天：森林早餐→向土地、森林學習(生態智慧教育、獵人學校、布農族古老傳說、整地、種樹或農作物→森林午餐→駐村藝術家參訪~九鳥陶燒→鹿野火車站 【早餐：森林早餐  午餐：森林野味餐  晚餐：自理】","","兩個太陽一個月亮"," 走訪東部布農族郡社群~南橫東段部落風景，探訪1943年黑澤隆朝採集布農歌謠~祈禱小米豐收歌(八部合音)的原鄉，歷史事件與族人遷移史。 重回1968年紅葉少棒打敗日本和歌山明星棒球的故事，它是臺灣棒球王國關鍵點，也是起點，那些紅葉小將的故事您知道嗎?他們在那裏? 駐村藝術家~九鳥陶燒，廖光亮帶您進入原住民的陶藝世界。 阿力曼自東華大學研究所畢業後，回到故鄉巒山，成立一個連地標都沒有的森林博物館，向土地學習一顆尊敬、謙卑的心，在森林裏您試著去聆聽，去攀爬，去感受森林為人類所做的一切。這是一個有生命、會呼吸，連樹都會走路的森林博物館。 您多久沒聽得到風、鳥、蟲的聲音，您多久沒有與星星對話？這趟行程可以讓自己安靜一下，您可以聽到森林在說話。","","","","","","","2013年60條原住民族深度旅遊路線"
12,"20130901","來去烏來住一晚~文化．遇見繽紛泰雅(二日遊)","泰雅族","新北市烏來區","","第一天：新店捷運站相見歡→內洞國家森林遊樂區→泰雅傳統美食→瀑布公園步道、青蛙生態→泰雅編織DIY體驗→泰雅風味晚餐→飯店泡湯第二天：飯店或民宿早餐→樂舞表演→烏來瀑布→烏來遊客服務中心→享用泰雅風味午餐→泰雅博物館→泰雅玩玩樂→烏來老街→烏來吊橋→新店捷運站再見","","兩個太陽一個月亮"," 內洞國家森林遊樂區    內洞國家森林遊樂區自然生態保存良好，林相多變且富含著相當豐富的動物資源，且內洞國家森林遊樂區內的陰離子含量是全臺森林遊樂區之冠，為體驗森林浴的最佳場所。 瀑布公園步道、青蛙生態    瀑布公園步道，此步道入口種植近百棵櫻花，走過櫻花道後，進入眼簾全是一片綠油油的森林生態。瀑布公園步道約3公里，途中經過蛙之谷，有成群的青蛙，呱呱呱歡迎大家的到來。 烏來瀑布＋勇士廣場    觀賞烏來風景特定區的代表景觀之一的烏來瀑布，瀑布高達80公尺、寬約10公尺，在日據時代舊稱為「雲來之瀧」的美譽。遠望瀑布有如白鍊一樣，當雨量充沛時烏來瀑布會分成兩道飛泉，自山谷撲簌而下，形成烏來天空雲霧瀰漫，增添浪漫的氣息，若在炎炎夏日來到烏來瀑布欣賞水景，讓人心情舒暢。您也可以前往泰雅編織協會，選購泰雅手工藝品。 泰雅博物館    由專業導覽人員，講述泰雅族獨特的文化，及泰雅族人於烏來的生活，讓遊客更認識泰雅族人。 烏來老街    烏來老街有了「黃金街」的封號。烏來街以具有原住民特色的商店為主，如：小米麻糬、泰雅編織、飾品、竹筒飯、小米酒等，另外也有飯店、餐飲業者提供遊客泡湯服務。要是想購買原住民的藝品、泡湯的相關物品，或是想品嘗一頓原住民大餐，在烏來街都可以一次解決！ 烏來吊橋    烏來吊橋係位烏來立體停車場附近，於烏來老街及烏來觀光大橋間為一橫跨南勢溪之景觀人行吊橋，長度105公尺，佇立於吊橋之上，登高俯看南勢溪河岸景觀，又可北觀紅色觀光拱橋，南望南勢、桶后溪匯流及露天溫泉之特殊景緻。","","","","","","","2013年60條原住民族深度旅遊路線"
13,"20130901","烏來溫泉.野要獵人學野趣體驗一日遊","泰雅族","新北市烏來區","","一日遊：新店捷運站→屈尺(泰雅遷移史) →泰雅博物館館內導覽→野要獵人學校(竹筒飯DIY、野炊進行式 (獵人食物分享屋) 、弓箭DIY / 泰雅射日傳說、狩獵DIY / 泰雅獵人技能、→強羅櫻花公園步道導覽→烏來瀑布商圈、泡湯→新店捷運站","","一個太陽","野要森林獵人學校:最靠近都會區的獵人體驗區，在這裏您必須學習觀察環境、尊重傳統自然禁忌、炊煮竹筒飯、製作陷阱、泰雅歌舞演習、獵人智慧、張弓射箭的體驗。","","","","","","","2013年60條原住民族深度旅遊路線"
