Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
35,"20130901","塔山下的幸福~來吉部落˙鄒式下午茶","鄒族","嘉義縣阿里山鄉","","第一天：竹山→草嶺→來吉部落(來吉神話步道巡禮、石頭教會、塔山工作室之鄒族音樂奇女子－白紫、天水木雕工作室)→阿里山鄒族之花~湯蘭花的家→鄒族風味餐→夜間觀察(生態解說)【早餐：自理  午餐：來吉部落  晚餐：鄒族風味餐、竹桶飯】第二天：部落創意產業DIY→奮起湖老街巡禮、星空木屋→品嘗鐵路便當→部落花園樂野部落尋禮→鄒式下午茶 (阿里山咖啡王子、阿將的家)→優格哇獅市集【早餐：簡餐  午餐：奮起湖鐵路便當  晚餐：自理】","","兩個太陽一個月亮","來吉部落--來吉原名拉拉吉，一個位於「聖山」-塔山下的鄒族部落，平均海拔在700至1000公尺間，依傍著美麗的阿里山溪。目前，整個地區分有內來吉（不恩屋）、外來吉（粗麻鄉）二個村，與太和交通便利，主屬特富野社。創社年代，大約在200年到250年前 樂野部落--鄒族人叫樂野為「拉拉吾雅lalauya」，是楓樹林的意思。位於阿里山半山腰，也是往鄒族兩大母社(達邦、特富野)必經之路，產業有高冷地農業及高山茶和山葵，蝴蝶蘭、現茶園也已逐漸取代了過去的楓樹林景觀。","","","","","","","2013年60條原住民族深度旅遊路線"
36,"20130901","漫遊阿里山忘憂谷","鄒族","嘉義縣阿里山鄉","","第一天：嘉義高鐵站→嘉義火車站→奮起湖→達娜伊谷自然生態公園→新美部落→茶山部落第二天：茶山部落→日安社區→嘉義火車站→嘉義高鐵站","","兩個太陽一個月亮"," 達娜伊谷自然生態公園：    鄒族語的達娜伊谷意指「忘記憂愁的地方」，這處海拔約500公尺高的谷地，因孕育「魚」而聞名。清澈的溪水和魚群是山美居民護溪有成的結果，遵循古老的河川管理方法，於70年代自發性封溪護魚，經過多年努力終於使魚苗重現，成為全臺第一座民間自然生態公園。 新美教會：    被稱為浴火重生館的新美教會，是新美部落的重要地標。1997年新美部落發生大火，教會受到波及。經歷三年多努力，新教堂建置完成，而被火紋身的舊教堂也被保留了下來，斑駁的教堂除留有一種獨特的美感外，也記錄著部落的歷史。 茶山部落：    茶山部落最大的特色，就是它遠近馳名的涼亭文化。村子裡到處都可以看到各式各樣的涼亭，幾乎都是以茅草、竹子和木頭搭建而成。涼亭的屋頂是辨識珈雅瑪部落居民的重要指標：布農族的涼亭屋頂是平頂型，鄒族則是圓型。每一個涼亭門口都會豎立簡單的木雕，觀察上面的雕刻，是外地人認識原住民文化內涵的好方法。涼亭文化是茶山部落中族人交流的重要推手，有的族人甚至會把採收下來的水果掛在涼亭裡，和大家分享。就連外來的遊客都可以自行取用。 日安社區假日市集    位在阿里山公路旁的轆子腳日安社區，是嘉義縣政府及行政院重建會所興建為安置88風災受災戶的住宅，讓他們暫時揮別災難的夢魘，立意良美。此「社區假日市集」的產生，除了結合災民的力量外，也邀集鄰近日滿、公興、太和等社區的加入，希望能吸引阿里山公路龐大的外來遊客，為災民們尋找一線生機。","","","","","","","2013年60條原住民族深度旅遊路線"
37,"20130901","那瑪夏區~布農族藝術生態","鄒族、布農族","高雄市那瑪夏區","","第一天：玉井(焦吧年事件紀念碑)→甲仙(芋頭、竹筍故鄉) →工藝坊體驗DIY(海舒兒陶藝工作坊、銀寶布農文化工作室、築夢工坊) →那瑪夏布農族營火之夜 【早餐：自理  午餐：甲仙鄉村風味餐  晚餐：布農族風味餐】第二天：那瑪夏→五里埔平埔文化館「小林夜祭與文物典藏」、小林紀念公園→高雄杉林大愛園區(假日市集) →旗山老街→高雄火車站","","兩個太陽一個月亮"," 那瑪夏區    那瑪夏區舊名瑪雅，原為南鄒族卡那卡那富群居住地，日治時期稱為「瑪雅峻」，二戰後稱為「瑪雅鄉」，1957年間，鄉名更改為「三民鄉」，族人常開玩笑說這裡是國父第一個完成三民主義的地方，2008年1月1日正名｢那瑪夏鄉｣，之後配合高雄市改制，升格為瑪夏區，此處擁有多元的族群，包含鄒族、布農族、排灣族、泰雅族及客家和福佬人，交織出不同的文化藝術，尤其原住民的傳統特色文化，依靠著全臺第一條生態保育河川、養育族人的楠梓仙溪，孕育豐富那瑪夏的文化瑰寶生命力。","","","","","","","2013年60條原住民族深度旅遊路線"
38,"20130901","賞蝶部落巡禮","魯凱族","高雄市茂林區","","一日遊：屏東縣→高樹→茂林（紫蝶幽谷）→茂林特色產業聯合展售中心、茂林工坊→得恩谷生態農場→萬山板岩工藝→龍頭山→蛇頭山→多納高吊橋→多納部落","","一個太陽"," 茂林三黑產業茂林的紫班蝶、萬山岩雕、多納黑米祭為茂林新興三黑產業。結合自然生態、神秘萬山岩雕工藝、傳統與創新的黑米祭，搭配傳統祭儀Tapakarhavae（稻米祭）造就多納獨有的黑米文化，推動原鄉產業的活力與青年回鄉在地就業。","","","","","","","2013年60條原住民族深度旅遊路線"
39,"20130901","魯凱下三社~茂林原住民人文三黑產業","魯凱族","高雄市茂林區","","第一天：高雄左營高鐵站→竹子門發電廠(日據時期巴洛克式建築水力發電廠) →新威森林→新威大橋→情人谷→紫斑蝶生態園區-烏巴克工藝坊→石破天驚文創工作室 (重現萬山石雕的密碼) →多納高吊橋→多納部落【早餐：自理  午餐：美綠園生態農場客家風味  晚餐：魯凱風味餐】第二天：多納部落巡禮(會呼吸的石板屋、勇士之路、祭人頭臺、紅塵峽谷) →多納古戰場(1903年屯子役事件、族人聖戰之地德德山) →茂林小米酒之家→六龜育幼院(楊恩典的故事) →高雄左營高鐵站【早餐：自理  午餐：多納在地風味或扇平山莊  晚餐：自理】","","兩個太陽一個月亮"," 茂林三黑產業茂林的紫班蝶、萬山岩雕、多納黑米祭為茂林新興三黑產業。結合自然生態、神秘萬山岩雕工藝、傳統與創新的黑米祭，搭配傳統祭儀Tapakarhavae（稻米祭）造就多納獨有的黑米文化，推動原鄉產業的活力與青年回鄉在地就業。","","","","","","","2013年60條原住民族深度旅遊路線"
40,"20130901","藝術茂林．三黑再起--春．追風勇士線","魯凱族","高雄市茂林區","","第一天：高雄→旗山→新發大橋→烏巴克琉璃天堂→茂林生態公園賞蝶→原味午餐→龍頭山→蛇頭山→多納特色民宿→多納部落巡禮(石板屋、祭人頭台→多納高吊橋)第二天：多納部落登山野營和朔溪→回家","","兩個太陽一個月亮"," 新發大橋    新發大橋位在台27線3K+480處，在2009年南台灣莫拉克風災重創下，當地居民的生活與經濟因橋毀而中斷，在重建單位努力之下，新發大橋以全新鋼骨結構重建，橫跨湍急的荖濃溪。    465公尺長的新發大橋橫跨荖濃溪，成為六龜地區重要的交通樞紐。淺綠色的大橋設計樣徵南台灣美麗的山林景觀，也是高雄地區環保、實施自然環境永續經營、生生不息最佳的象徵。 茂林生態公園    『紫蝶幽谷』為地球上著名兩大越冬型蝴蝶谷之一，與墨西哥「帝王斑蝶谷」並列為目前世界兩大規模「越冬型蝴蝶谷」，因屬極罕見的特殊現象，引起生態保育學者及國際媒體的高度興趣，在每年12月至翌年2月秋冬季節之際，成群百萬隻紫斑蝶依不同的方向、相同的路徑集體進行一年一度的遷徙之旅，飛向南台灣低海拔避風山谷中，形成紫斑蝶群聚飛越來台灣高雄市茂林鄉過冬的生態奇觀，不僅是台灣獨有的國寶級生態，更是全世界少見的生態奇蹟，到茂林體驗紫斑蝶環繞飛舞的壯觀場景！ 龍頭山    龍頭山位於萬山及多納村間，為茂林國家風景區最受歡迎的據點。地屬環流丘地形，三面高山環繞，東南面臨濁口溪溪流，溪流蜿蜒恰成V字形。地形由於被隔成龍背般之山脊，從遠處漸降盤旋到本區之一小山丘為止，彷佛龍在吐珠，故又名為龍吐珠。 多納石板屋    多納為魯凱族村落，是茂林鄉唯一沒有遷村的部落，因此居民大多世居於此，而保留了魯凱族多樣性的文化；多納附近一帶盛產粘板岩，村民於是就地取材，堆砌成石板屋，由於石板屋防風防雨，且十分涼爽又耐用，一直是魯凱族人建築居家的材料，也因而成為多納最具特色的文化表徵，來此不僅可體會魯凱族文化風情，也可欣賞秀麗的風光，值得一遊。 祭人頭台    祭人頭場是將那些被處決的侵略部落外來者人頭放置在此，並以此祭慰族人上天之靈的場所。由於以前一個部落便代表著一個國家，因此要是當某部落違反規定侵略部落領土，則會是一件相當嚴重的事。若部落村民遭到敵方獵殺，那麼被獵殺的族人所屬部落，將同樣處決敵方戰俘，以報復方式祭拜在這場戰爭中犧牲的族人，表示為族人復仇並告慰族人上天之靈。復仇的怨念無限循環，如同掀起一場小型戰爭。其實在以前祭人頭場對於部落村民來說是敬而遠之的，但現在已開放作為參觀景點。 多納高吊橋多納高吊橋從日據時代，就是茂林鄉的人必經的路徑。長長又鮮艷的紅色吊橋，全長232公尺、高103公尺，號稱東南亞高程第一，對於較為懼高者而言頗為刺激。橋下峽谷雙溪流水，美不勝收，山風涼爽，怡然自得，機車可直接通過，相傳是以前萬山村的男生要到多納村找女生的最佳途徑。","","","","","","","2013年60條原住民族深度旅遊路線"
41,"20130901","藝術茂林．三黑再起--夏．魯凱節慶線","魯凱族","高雄市茂林區","","高雄→旗山→美濃→原味午餐→工坊參觀→茂林特色民宿→魯凱族豐年祭、祖靈祭→新威森林公園→回家","","兩個太陽一個月亮"," 新威森林公園  新威森林公園位於高雄市六龜區新威里與新寮里的交會處，台28線四十五公里處，在荖濃溪的西岸台地上，因土質優良而建苗圃，居民稱之為坪頂。新威森林公園海拔約有兩百公尺，面積26.3289公頃。新威森林公園是全國最大運育苗圃的地方，其中最壯觀的苗圃就在道路兩旁的桃花心木大道。春夏時綠樹成蔭，到了秋冬葉子轉為紅黃，灑滿一地的景象格外有如詩如畫的意境。成排的林木所營造出的天然長廊，有著異國風情，常吸引許多情侶，更成為拍攝婚紗指定地點之一。","","","","","","","2013年60條原住民族深度旅遊路線"
42,"20130901","山中古國~阿禮.霧台石板藝術村","魯凱族","屏東縣三地門鄉","","第一天：高鐵(左營)→三地門→三德檢查哨→阿禮部落巡禮(天主教堂、 頭目家屋廣場、Sasala古道生態步道) →阿禮古國晚宴→魯凱族傳統歌謠傳唱【早餐：自理  午餐：在地美味  晚餐：阿禮傳統風味】第二天：早安賞鳥、看山、看雲、大口呼吸→阿魯灣古道井布山(為過去阿禮、舊好茶兩部落血源一家親的姻緣路) →霧臺石板藝術村巡禮→高雄(左營) 【早餐：活力早餐  午餐：部落風味   晚餐：自理】","","兩個太陽一個月亮"," 阿禮部落巡禮：山林、雲霧、鳥鳴，再來杯咖啡，人生最大幸福，莫過於此。 霧台鄉最深處的魯凱族古老部落－阿禮，位處雙鬼湖野生動物重要棲息環境， 擁有豐富自然景觀及生態資源。眼前雲霧陪伴、身旁鳥兒嬉戲，來到阿禮讓您體驗大自然所給予的幸福。部落的天主教堂(石板屋天主堂，內部的牆面以大塊石板鋪設而成。教堂的重要裝飾即為石板圖飾，是由藝術家雕刻並且經由了解石板習性的專人黏貼而上)、頭目家屋廣場、Sasala古道生態步道極具特色。 阿禮古國晚宴、歌謠傳唱：體驗溫馨歡樂的魯凱族傳統文化氣氛。 阿魯灣古道井布山的姻緣路、霧台石板藝術村巡禮：在充滿藝術氛圍的地方感受魯凱文化，例如:岩板巷地面以石板鋪設而成，充滿了魯凱文化的風情，沿巷的雕刻，描述著許多故事。","","","","","","","2013年60條原住民族深度旅遊路線"
43,"20130901","原住民新桃花源~禮納里(RINARI)‧達瓦達旺舊部落","魯凱族排灣族","屏東縣瑪家鄉","","第一天高雄左營高鐵站→原住民文化園區(臺灣原住民文化、建築、工藝、文化創 藝展示) →禮納里部落、紅黎工坊→排灣族勇士宴→三地門夜景【早餐：自理  午餐：文化園區或禮納里部落廚房  晚餐：山中天或答發給力】第二天 地摩兒的早晨(07:00點以前三地門彷如天堂) →達來達旺舊部落探索(農用法拉力+健行45分鐘、石板屋遺址-全臺最大的石板屋聚落) →舊部落野餐→排灣族藝術家參訪+下午茶(山中天、古琉坊、青蜓雅築、沙滔琉璃藝術工坊、排灣三堡、彭春林編織工坊..) →高雄左營高鐵站【早餐：活力早餐  午餐：野餐  晚餐：自理】","","兩個太陽一個月亮"," 達來達旺舊部落~傳統與自然的石板屋    達來部落原名為達瓦達旺，歷經5次的遷村，民國78-80年最後一次遷村到現在的地方，稱之為新達來，洽與舊部落遙遙相對，並隔一條北隘寮溪，新舊部落的來往交往僅靠150公尺長達來吊橋，舊達來保有多棟大型石板屋及貴族廣場、教堂、學校，山谷群山、瀑布景色優美怡人 原住民文化園區    「台灣原住民文化園區」位於屏東縣瑪家鄉北葉村，原為瑪家山地文化村，處於三地門、瑪家、霧台等三個原住民鄉之間，以排灣、魯凱族群之村落為主，為台灣原住民族活文化典藏館。","","","","","","","2013年60條原住民族深度旅遊路線"
44,"20130901","牡丹鄉排灣族~CACEVAKAN 遺址、石門古戰場、萬金天主堂","排灣族","屏東縣牡丹鄉","","第一天：高雄(高鐵左營站)→泰武國小(古謠傳唱隊) →吾拉魯滋部落→萬金天主堂(開教始於1861年為全臺首位) →來義國小→日據二峰圳伏流水工程→車城→878年牡丹社事件的故事(琉球番民墓-石門古戰場) →排灣族風味BBQ+部落民歌演唱【住宿：牡丹山莊、紅瓦屋民宿、茴香戀戀溫泉、哭泣湖石頭屋民宿】【早餐：自理  午餐：在地風味料理   晚餐：排灣BBQ+部落民歌演唱】第二天：cacevakan 遺址/高士排灣族的古老部落) →佳德谷原住民藥物園區DIY→高雄【早餐：簡餐  午餐：麻里巴廚房 或 佳德谷原生植物園區   晚餐：自理】","","兩個太陽一個月亮"," Cacevakan 遺址    Cacevakan」石板屋遺址位於石門村27林班，石板屋占地面積約一甲半，聚落沿山腹開展分散，據聞為四林村傳統領域範圍。「Cacevakan」意指沿石頭節理來切割石板之意，因為該地石板主要是屬於砂頁岩層，質地堅硬不易切割，所以在進行切割石板前，必須先請巫師進行祭拜，向山神祈求切割石板過程順利，故將切割石板處命名為Cacevakan。前往石板屋遺址全種需時約二十分鐘，沿途藤本植物交錯，巨大桑科榕屬、熱帶雨林板根植物林立，讓人有如進入原始雨林之感，更增添石板屋神秘的面貌。 石門古戰場    石門古戰場是台灣牡丹社事件（日稱「台灣出兵」）發生地點，位於屏東縣牡丹鄉與車城鄉交界處，距離四重溪東北方大約3公里，是恆春半島歷史景點之一。    清同治10年（1871年)，琉球國船隻漂流至今日牡丹鄉附近，琉球船員被當地原住民殺害，即宮古島民台灣遇害事件，當時琉球國同時向清朝和日本朝貢，故日本政府派兵前往事發地點，遂於1874年以「懲辦凶手」為由向當地原住民交戰之處。","","","","","","","2013年60條原住民族深度旅遊路線"
45,"20130901","漫遊原鄉部落．排灣．東源麻里巴","排灣族","屏東縣牡丹鄉","","第一天：高雄左營站→風味午餐→石門古戰場→水上草原→牡丹後花園晚會→飯店Check In第二天：晨喚、早餐→尋找祖靈地『Cacevakan石板屋舊遺址』→麻里巴廚坊午餐→晚餐→返回台北","","兩個太陽一個月亮"," 石門古戰場    石門古戰場是台灣牡丹社事件（日稱「台灣出兵」）發生地點，位於屏東縣牡丹鄉與車城鄉交界處，距離四重溪東北方大約三公里，是恆春半島歷史景點之一。清同治十年（1871年)，琉球國船隻漂流至今日牡丹鄉附近，琉球船員被當地原住民殺害，即宮古島民台灣遇害事件，當時琉球國同時向清朝和日本朝貢，故日本政府派兵前往事發地點，遂於1874年以「懲辦凶手」為由向當地原住民交戰之處。 東源濕地水上草原、哭泣湖的自然魅力    東源濕地為恆春半島古濕地之一，在濕地區有一小部落為「麻里巴」，其中的生活故事、部落傳說都與這濕地息息相關，且由部落的聽覽員為您一一訴說這些美麗的事物吧。腳指頭準備好跟東源水上草原說「哈囉」了麼？想揭開哭泣湖美麗的面紗麼？等您一同來體驗大自然的奧妙。 cacevakan 遺址    「Cacevakan」石板屋遺址位於石門村27林班，石板屋占地面積約一甲半，聚落沿山腹開展分散，據聞為四林村傳統領域範圍。「Cacevakan」意指沿石頭節理來切割石板之意，因為該地石板主要是屬於砂頁岩層，質地堅硬不易切割，所以在進行切割石板前，必須先請巫師進行祭拜，向山神祈求切割石板過程順利，故將切割石板處命名為Cacevakan。前往石板屋遺址全種需時約二十分鐘，沿途藤本植物交錯，巨大桑科榕屬、熱帶雨林板根植物林立，讓人有如進入原始雨林之感，更增添石板屋神秘的面貌。","","","","","","","2013年60條原住民族深度旅遊路線"
46,"20130901","等待飛魚 蘭嶼達悟族旅人日記","雅美族(達悟族)","臺東縣蘭嶼鄉","","第一天 ：臺東富崗碼頭搭船往蘭嶼(船行約2.5小時)→機車環島(漁人村、野銀社地下屋建築美學與傳統智慧、耆老吟唱古調、東清村、雙獅岩、情人洞、朗島村、蘭嶼燈塔、黃昏市集) →紅頭村海灘賞夕陽 【早餐：自理  午餐：海老人海鮮餐廳  晚餐：無餓不坐餐廳】第二天 ：東清灣觀日出→健行遊天池、回音谷（雅美族嚮導帶領觀賞熱帶雨林生態、雅美族造舟民俗植物）→自費活動（浮潛、拼板舟體驗）→青青草原→夜間觀察(夜訪角鴞、潮間帶生態)【早餐：阿力給  午餐：蝴蝶蘭(紅頭村)  晚餐：浪島丁字褲BBQ】第三天：雅美族工藝家（駐村藝術家）→蘭恩文物館→開元港→臺東【早餐：自理  午餐：自理  晚餐：自理 】","","三個太陽二個月亮"," 野銀部落    意指這裡有許多的馬鞍藤。這裡是島上保留最完整的傳統聚落，由於有世界級的景觀，2002年行政院文化建設委員會曾提報為台灣世界遺產潛力點之一。部落目前分成傳統聚落及現代水泥房，年輕人居住在水泥屋，老人家大多居住在傳統屋，部份的傳統屋如今也改成民宿型式。野銀部落是島上提供最多民宿的聚落。 漁人部落:指平坦寬敞的地方。漁人部落位在蘭嶼島南方，介於紅頭與椰油部落之間。漁人為蘭嶼機場進出的部落，部落居住型態呈橫長形，漁場在部落前方海域，是主要聚會活動與休閒的區域；漁人教會新教堂內部仿照傳統屋的建築空間顯得相當特別，教會右側石梯型芋頭田傳說花了九年時間才砌成，且已使用百年以上。漁人部落殺飛魚的刀法為四刀，迥異於其它部落的殺魚文化。 東清部落    是指這裡有許多ilek（指天竺舵魚、低鰭舵魚，俗稱白毛），另一地名I-va-zo-ga，意謂著太陽最先昇起的地方，傳說這裡也是天神下凡之地。走進東清部落，一眼望見座落在灘頭左側刻有蘭嶼圖騰的立柱，是六個部落中唯一的大型立柱。這是2003年居民集體以機動船從海上拖運回來的漂流木，經過部落居民商議和當地藝術家的集體努力之下，成了如今美麗的入口意像。當時雖有長者擔心這樣的創舉會觸犯禁忌，但現在卻成為東清部落的新地標。今年，到了盛夏的夜晚，這裡搖身一變而成夜市，居民販賣台灣小吃、自製地瓜甜點及擺放手工藝品，添增了島上居民新的生活樂趣。雙獅岩、情人洞、觀日出 椰油部落    意思是食物不虞匱乏的地方。這裡除了商家林立之外，亦是蘭嶼行政中心、最高學府、農會超市及加油站的所在地，為六個部落中居住人口最多，最熱鬧、生活機能最便利的區域。每週二、五停泊在開元港的貨船，運載著居民日常生活所需的物資，它們大多被送往農會超市。在這些日子，農會超市經常聚集著購物人潮，門外也自然形成居民販售野菜、海產和手工藝品的小市集，一副熱鬧的景象。 紅頭部落:意指成群集聚的部落。位在部落之中的八代灣為飛魚文化的發源地，每年紅頭部落為島上第一個舉行招魚祭的地方。部落灘頭是重要的祭儀場所，八代灣及小蘭嶼是主要海洋漁獵的活動範圍。青青草原為居民傳統耕作地，因人口外流不再耕作，成為遊客觀賞日落的最佳去處。在紅頭部落裡，可見到過去的軍事用地，如蘭嶼指揮部、崗哨、稻鄉新村及中正公園等歷史遺址，餐飲、住宿、醫療、金融機構也都在此。台電核能廢料貯存場位在部落傳統領域界線的尾端。本遊程會在海灘賞夕陽。 天池、青青草原    在當地解說員的帶領下，遊客可以安全且深度地探索蘭嶼熱帶雨林。在橫貫公路、大天池、小天池裡有許多特殊的生態資源和景觀，如大株樹種、民俗植物、昆蟲、水芋田景觀等自然生態，循著步道探索其間，是喜愛探索山林的冒險家不能錯過的行程。 體驗活動(浮潛、拼板舟、夜訪角鴞、潮間帶生態體驗)    例如夜晚，是蘭嶼角鴞活動的時刻，此起彼落「嘟嘟烏」的鳴叫聲，劃破夜空的寧靜。在達悟人的眼中，牠是不吉祥的鳥類，但小巧玲瓏的可愛模樣，現在卻成為遊客夜間觀察時的明星。 蘭恩文物館","","","","","","","2013年60條原住民族深度旅遊路線"
47,"20130901","拜訪神聖魯凱部落達魯瑪克","魯凱族","臺東縣卑南鄉","","第一天：南島社大出發→經桑樹溪→抵達卡帕里瓦(達魯瑪克舊部落) →達魯瑪克風味餐→部落巡禮導覽解說(若於7月份魯凱族小米收穫祭時參加慶典、感受鞦韆節愛的季節更能感受魯凱族文化)第二天：舊部落卡帕里瓦→大巴六九部落(太平生態農場大巴六九溪谷體驗、藥用植物園區藥膳體驗、傳統手工藝體驗)→火車站","","兩個太陽一個月亮"," 多良火車站／多良向陽薪傳木工坊    沿著浩瀚太平洋與海岸山脈，多良火車站原為南迴線上供單線列車交會之用，雖然2006年已廢站，但採架高設計的車站可鳥瞰太平洋、欣賞綿延的山勢，被鐵道迷譽為「臺灣最美的火車站」。車站上方的多良向陽薪傳木工坊，是大溪國小多良分校舊址，培訓部落青年以漂流木製作文創工藝品，是創意發想基地。 大武山、金崙溫泉    中央山脈主脊最南端的大武山是臺灣五嶽之一，被魯凱族與排灣族視為祖靈居住地；山下的大武山自然教育中心，提供詳細的生態導覽，讓旅客深度瞭解大武山的重要生態資源。再往山裡去，可遇見金崙溪旁的金崙溫泉，只見河床旁冒出滾滾熱泉與冰涼溪水形成奇特景觀；泉水屬弱鹼性碳酸氫鈉泉，無色透明且稍帶硫磺味，洗後膚質滑嫩。 達魯瑪克部落    達魯瑪克（Taromak）是魯凱族群居的東興村，也是臺東縣內唯一的魯凱族生活區，又稱大南魯凱，其特殊的族群文化藝術展現，適合安排一至兩天的部落文化探訪。體驗方式多元，可從守護神祈福、參觀火災紀念碑、東魯凱文物館開始，沿著部落內的桑樹溪，認識荷蘭人與達魯瑪克歷史，再前往頭目家屋、祖靈屋，品嚐魯凱族風味餐，或者是體驗手工藝、衣飾文化、小米農耕與採集文化等。二日遊為預約制，務必事先預約才能享受美好行程。 大巴六九部落卑南族八社之一的大巴六九部落，太平溪(大巴六九溪) 流經部落北方，其溪谷景觀多變化，上游未經開發的原始瀑布，結合林道森林景觀，螢火蟲、蛾蝶類復育，極適宜發展深度休閒旅遊。","","","","","","","2013年60條原住民族深度旅遊路線"
48,"20130901","山間的桃花源—霧鹿、利稻生態遊","布農族","臺東縣海端鄉","","一日遊：臺東市→布農族文物館→霧鹿砲臺公園→天龍吊橋→天龍古道巡禮→利稻部落→栗松溫泉→台東市","","一個太陽"," 霧鹿砲臺公園    公園位在霧鹿國小後方，園中的鹿眥亭有兩門保存完好、1903年由俄國製造的古砲，於日俄戰爭中被日本擄獲後輾轉運送來臺，是當時用來對付布農族人的歷史鐵證。 天龍吊橋    跨越霧鹿峽谷兩側崖壁，興建於日治時期的天龍吊橋，宛如青山綠水間的一道彩虹。從橋上俯瞰峽谷，霧鹿溪水勢湍湍，氣勢壯闊，可結合長約1公里的「關山越嶺古道」輕鬆健行。 利稻部落    位於霧鹿溪上游河階臺地的利稻部落，在海端鄉內海拔最高地，居民大都為布農族人。紅瓦田園排列有序，白梅紅櫻怒放，有如世外桃源。農作以高山茶與高山蔬菜為主，景致優美，是南橫段最重要的高山作物產區。每年國曆四月下旬，布農族打耳祭典開始後，寧靜清幽的利稻，就變身為充滿節慶歡愉氣息的山中部落。 栗松溫泉    隱身山林中的栗松溫泉，被譽為臺灣最美的溫泉瀑布，從新武呂溪峽谷右側岩璧縫隙噴灑而出，形成數道涓細泉瀑傾流而下。因礦物質結晶而閃耀著色澤的溫泉壁與白濛濛蒸氣，交織得如夢如幻。躺臥其間，淙淙山澗與青蔥樹林景致圍繞，是最愜意的享受。","","","","","","","2013年60條原住民族深度旅遊路線"
49,"20130901","東臺灣人文記事~美麗都蘭灣","阿美族、卑南族","臺東縣東河鄉","","第一天：臺東利吉惡地→嘎嘎娃桑(石山部落)，永續部落產業與原創，社區空間美學巡禮→卑南史前博物館(卑南文化3000年的深入對話)→鐵花村原民創作歌手展演與部落市集【住宿：臺東原住民會館.或 臺東公教會館】【早餐：自理  午餐：石山部落廚房  晚餐：米巴奈或岩灣客棧或利嘉原始部落原住民風味餐廳 (可看夜景)】第二天：都蘭藝術糖廠(駐村藝術家的對話、都蘭山劇場與阿美族老兵的故事)→都蘭灣的美麗海岸、都蘭鼻阿美族祖靈地→樹皮DIY→比西里岸PAWPAW鼓+下午茶→臺東火車站(機場)《若時間人數時間允許，建議安排東河瑪洛阿瀧阿美族貢多拉的竹筏體驗》【早餐：簡餐  午餐：成功旗魚或部落達魯岸  晚餐：卑南包子】","","兩個太陽一個月亮"," 鐵花村原民創作歌手展演與部落市集一個由台東音樂人和藝術工作者共同打造的音樂聚落及在地發芽的慢市集https://www.facebook.com/tiehua/info 都蘭藝術糖廠(駐村藝術家的對話、都蘭山劇場與阿美族老兵的故事) 比西里岸PAWPAW鼓：同前列說明","","","","","","","2013年60條原住民族深度旅遊路線"
