Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
50,"20130901","真柄部落阿美族體驗","阿美族","臺東縣長濱鄉","","第1日：玉里火車站→真柄部落巡禮˙青年會所→野外午餐→水母丁溪釣魚、逗螃蟹→情人沙灘→風味晚餐（夜宿傳統茅屋，或民宿）第2日：早餐→拜訪部落農家˙賞梯田→前往瑪洛阿瀧部落→白沙灣→馬武窟溪撒網˙竹筏泛舟→風味晚餐→東河夜未眠：傳統歌謠（夜宿部落屋）第3日：早餐→部落巡禮˙登仙橋與猴相遇→風味午餐→賦歸(台東火車站)","","一個太陽","真柄部落位於長濱往八仙洞的台11線公路上，部落居民80%以上都是阿美族人，仍然保存著相當傳統的阿美族文化，像年級制度、母語文化、竹筏製作、捕飛魚等，在此都奉行如儀。真柄舊名「馬格拉海」，意思是乾涸或雨衣，因為部落附近有一條小溪在下雨時才會有水，雨一停水就乾了，跟雨衣一樣，所以得名。    根據部落耆老的說法，真柄部落的族人早年本來是居住在瑞穗，後來沿著秀姑巒溪遷到奇美部落，再經過多次遷移，來到目前居住的3間村南邊的台地上。據說，從前建社於馬稼海溪上游，與石坑社（今之長光）隔溪相對，日人將兩社併稱馬稼海社，但事實上這是兩個各自獨立的小社。 部落的歷史文化    真柄部落的村人祖先是從豐濱鄉的靜浦和八里灣遷徒過來。大約一百年前，豐濱一帶的阿美族相偕南移，建立此社；然時至今日，當初的豐濱阿美已非主要人口，倒是秀巒阿美的太巴塱社佔多數，亦有部分是卑南阿美。真柄部落以阿美族為主體，僅有兩戶為漢人。長久以來部落的經濟活動皆以農漁業為主要。傳統的部落是以年齡階層為劃分依據的社會，青年組是領導階層。真柄部落位於三間村南邊的台地上，西邊為東海岸山脈，東臨太平洋，是個依山傍水、景色宜人的地方。部落後山的真柄溪，也是東海岸不多見的美麗溪流，從部落水田與山區的界限，沿著水圳上溯溪谷，很快就可進入景色原始而美麗的真柄溪峽谷，上擁有許多連續而下的瀑布群，溪水清澈而涼爽。 部落的竹筏工藝:東海岸的阿美族人除農耕外，也擅長於捕魚，竹筏就成了生活上的要項。真柄社區的竹筏製作，技術一流，每年的東海岸竹筏競賽，也都名列前茅。真柄部落以阿美族年齡階級為主體，部落公共事務全賴年齡階級負責，推動傳統技藝的傳承，延續部落生命，提昇文化及發展產業，呈現部落的美麗與活力。生產玉石的峽谷和瀑布:水田的源頭就是巍峨突起的海岸山脈，村旁的真柄小溪從 這起，也變成一條景致天成的迷人峽谷。峽谷中段的水源地是 溯溪、戲水、找奇石的好地方。從水源地的取水口沿著溪谷上 溯，大約四十五分鐘可以抵達第一座瀑布，在這一段溪谷戲水 或尋找奇石及真柄溪蘊藏豐富的玉髓，遊客很容易找到晶瑩剔 透的白玉髓，甚至連俗稱台灣藍寶的水晶翠，也不難看到一些 品相不佳的碎塊。從第一座瀑布要繼續往上游深入，則屬於專 業登山範疇，遊客必須攜帶登山繩、也要具備攀岩技巧。爬上 這座大瀑布後，會遭遇一段巨石磊磊、宛如迷宮的峽谷，最後 再遇到第二座更難克服的瀑布。馬武窟溪竹筏體驗‧部落後山尋寶‧獼猴保護區竹筏遊溪谷、撿拾藍寶趣.......坐嗒嗒車至部落後山挖寶，珍貴的藍寶石可能就在你腳下。除了藍寶石外，山上還有另一寶，就是台灣「獼猴」！討喜的模樣，總讓大人、小孩們看到後都興奮不已，但觀賞之餘，也請記得不要餵食或逗弄獼猴，以免影響牠們的棲息生態哦。而來到馬武窟溪最讓人期待的就是原住民傳統竹筏體驗，操縱划槳行至白色的帝王石旁，河域的寧靜，讓人感覺置身於圖畫中，這樣的體驗，大概也只有東河部落才有。","","","","","","","2013年60條原住民族深度旅遊路線"
51,"20130901","再見!阿塱壹~南臺灣最後未開發古道‧南田石浪濤樂章","排灣族、卑南族、阿美族","臺東縣達仁鄉","","第一天：臺東火車站→三和村(臺灣原住民登陸紀念碑與原住民創世紀傳說) →嘉蘭社區災後重建社區的美，木工坊與布工坊的文創產業→南田石藝工坊(臺灣最美鵝形硬沙岩)、重點部落社區總營造→南田廚房排灣風味+排灣古調吟唱之夜【早餐：自理  午餐：新香蘭拉勞灣部落 或 嘉蘭媽媽廚坊  晚餐：南田廚房 或 港口海鮮風味】第二天：阿塱伊古道健行(全程約4小時) →旭海村、旭海溫泉→東源村哭泣湖下午茶(排灣族小米酒咖啡+烤芋頭乾)或鐵頭行動咖啡下午茶→臺東火車站(大武站)【早餐：自理  午餐：麻里巴部落廚房 或 旭海村烏沃姆肉粽+養生茶 晚餐：自理】","","兩個太陽一個月亮"," 嘉蘭部落    嘉蘭部落位於太麻里溪溪流北岸支流的沖積扇平原上，可眺望太平洋，後有排灣族母親之稱的大武山自然保育區，四面環山，山川秀麗，景緻宜人，原稱為Buliblosan，為多霧之意，曾是大樹森林茂密，容易累積霧氣之故。老部落位於知本溪上游Kaaluwan社，日據被「集團移駐」，陸續移村現址，2009年莫拉克颱風的八八水災，造成嘉蘭村46間民宅遭洪水流失、100公頃農地被淹沒莫那克，歷經3年重建，在社會的愛、族人的勇力與包容，嘉蘭部落族人走出悲痛，看見未來。  南田村:南田村為於達仁鄉，面向太平洋，海岸邊堆滿石頭，潮汐、海浪經年累月不斷拍打，成質地堅硬、黝黑光滑、黑色的礫石上，點綴白色礦物質，圖樣多變的南田石，若願意坐在海灘，您可聽到海浪拍打粒石發出震撼持續敲擊樂章。 阿塱壹古道~南台灣最後未開發古道    一條即將走進歷史的台灣天然礫石海岸線，最後一段僅存6.9公里的阿塱壹古道，將成絕響。 也許這一次將成為最後一次看到阿塱壹，聽說達仁鄉南田村至旭海段即將即將要開通，要開發與不要開通？南田村與旭海村民、政府立場、環保團體尚未妥協。這曾經是阿美族、卑南族遷移路線，在屏東南端與當地排灣族通婚，稱為斯卡洛族群，在旭海您可看到會抓魚的排灣族，會聽到會說排灣族話的阿美族。","","","","","","","2013年60條原住民族深度旅遊路線"
52,"20130901","聆聽太魯閣族的山谷迴音-布洛灣、白楊步道","太魯閣族","花蓮縣秀林鄉","","第一天：天的圖書館→葛都桑工作室→花蓮秀林村那都蘭工作室→布洛灣山月邨第二天：布洛灣山月邨→白楊步道","","兩個太陽一個月亮"," 白楊步道    白楊步道長度為2公里，單程步行約一小時。白楊步道也是利用台灣電力公司的施工道路整建而成，溪谷美景為主要特色。穿越許多隧道與溪流，沿途風光明媚，自然生態隨季節變化，不僅是健行的最佳步道，亦是體驗太魯閣環境自然美景與生態的絕佳機會。 布洛灣    「布洛灣山月邨」布洛灣（Bruwan）從前是太魯閣族部落，意指『回音』，上台地是「布洛灣山月邨」，下台地為太魯閣國家公園布洛灣遊客中心。類似村莊聚落的整體規劃，以及獨棟雙拼的小木屋，除了有濃濃原住民原始風格外，還帶有一點點傳統唐式的懷舊味道。房間內的原住民織布吊燈及布畫可都是純手工製作，最特別的是客廳移到室外，白天可在客廳乘涼欣賞周遭美景，晚上可與家人談天觀星。","","","","","","","2013年60條原住民族深度旅遊路線"
53,"20130901","歌浪舞動&幕谷幕魚","太魯閣族","花蓮縣秀林鄉","","一日遊：花蓮出發→慕谷慕魚遊客中心→銅門電廠→清水電廠→楊清橋→夫婦瀑布→水濂電廠→瀧澗電廠→明隧道健行→清水溪→灣月峽谷→賞魚區→親水區→山刀老街→(花蓮市區名產巡禮)→返回花蓮市區OR車站&機場","","一個太陽"," 銅門派出所、銅門鐵馬驛站    基於生態保育及維護交通安全之考量，慕谷慕魚自2007年1月起實施入山總量管制，每日受理上午、下午各300人次的入山數量限制，並需於銅門派出所辦理乙種入山證，在現場核發入山許可證後始可進入。銅門派出所除受理入山證申請外，另設「銅門鐵馬驛站」，提供自行車輪胎打氣、維修工具、洗手間之借用以及飲用水、短暫休息等。 銅門發電廠、銅門檢查哨    日本人據台時期曾於木瓜溪建立小型發電廠，其中位於山壁上的銅門發電廠於民國28年11月完工、民國32年4月完成發電，後於民國33年至34年間發生兩次大水災，造成廠房以及內部設備遭埋沒後毀棄，之後台灣電力公司繼續利用木瓜溪高低落差大的河川特性及水流沖擊優勢，自上游至下游分別修建龍溪、龍澗、水濂、清水、清流、銅門、榕樹、初英等水力發電廠，其中以龍澗發電廠之發電量為最大，而台灣西部90%的電力來源則由這八座發電廠所產生。銅門發電廠前吊橋旁之銅門檢查哨即為進入慕谷慕魚生態廊道前的檢查哨，憑入山許可證即可進入一探幽谷美景。 揚清橋、清流橋、賞魚區、戲水區    橫跨於於清水溪上的揚清橋，由於所有原物料均需溯溪運送，故造價相當昂貴，而清流溪與清水溪匯集處之清流橋，由於汽車過橋後無法迴轉，故建議下車採步行方式遊覽，用雙腳體會、並親近慕谷幕魚的生態之美。遊覽慕谷慕魚生態廊道美景，還可參考導覽地圖前往廊道規劃的賞魚區及戲水區，踏入沁涼溪水中消暑或親近魚群。 銅門山刀街    銅門地區居民利用當地特有的礦物「銅」打造各式山刀、擺飾等具特色的紀念品，迄今仍有許多高掛打鐵店招牌的店，也能經常聽到鏗鏘清脆的打鐵聲，讓銅門地區有別於其它太魯閣部落。 清水發電廠    位於慕谷慕魚生態廊道之終點，原名「清水第一水力發電所」建於民國28年，屬台灣境內歷史最悠久的發電廠，由於沿岸隧道僅容一車通行電廠也未開放，且目前為遙控電廠故人車罕至，也因此保有自然原貌。","","","","","","","2013年60條原住民族深度旅遊路線"
54,"20130901","馬太鞍捕魚祭--一窺生態捕魚的秘密","阿美族","花蓮縣光復鄉","","一日遊：花蓮縣光復火車站→馬太鞍溼地，馬太鞍邦查文史工作室→馬太鞍部落→部落巡禮→馬太鞍祭祀廣場→天主教→古屋→小古屋→六十六代頭目之家 →光復觀光糖場 (日式建築)","","一個太陽"," 馬太鞍濕地生態園:馬太鞍濕地生態園區位於花蓮光復鄉馬錫山腳下，依傍中央山脈，三面環山，是一處天然的沼澤濕地，佔地面積近百公頃。馬太鞍「VATAAN」是當地阿美族對樹豆的稱呼，這種樹豆阿美族人將其視為吉祥物，隨身攜帶，到處播種，馬太鞍這一帶即以「長滿樹豆的地方」而得名。近年來，馬太鞍濕地更以栽種夏季景觀蓮花田聞名；盛夏時，荷葉連天，荷花怒放，吸引許多人前來，遊客可沿著木棧道，近距離欣賞蓮花之美。光復糖廠:糖業在花蓮的發展，開始於漢人經營的「糖廍」為主。日治初期，才由日本人賀田金三郎所主持的賀田組經營，1913民國2年「台東拓殖株式會社」在花蓮縣壽豐鄉設立「壽工場」，又稱為「鯉魚尾糖廍」；1914民國3年再由「鹽水港製糖株式會社」買收，民國10年另在光復鄉設立「大和工場」，以擴大製糖產量。二次大戰末期，這兩處工場均遭盟軍毀損。光復後，台糖公司接收，決定拆除毀損較嚴重的「壽工場」，修復大和工場並更名為花蓮糖廠，成為東部地區的製糖重心。由於糖廠位於光復鄉，因此常被稱為「光復糖廠」，其實「花蓮糖廠」才是官方正式銜名。","","","","","","","2013年60條原住民族深度旅遊路線"
55,"20130901","奇美部落慢活體驗","阿美族","花蓮縣瑞穗鄉","","一日遊：搭乘火車抵達瑞穗車站→搭奇美部落接駁車前往部落→奇美文物館導覽→傳統家屋內部解說秀姑巒溪生態解說→離開部落→火車返回","","一個太陽","奇美是阿美族「秀姑巒阿美」群最古老的部落之一，據說它也是阿美族漂抵台灣後最早建立據點。村中也是第一座最早經營原住民民宿的阿美族部落。奇美自古就是一個易守難攻的部落，因為秀姑巒溪切穿海岸山脈，讓這個位居層疊山巒之間的部落，擁有更多迷人的景致。在奇美漫步是一件輕鬆愜意的事，與自然山水融為一體的聚落，隨著坡度變化的視野，曲折而富有變化。 奇美文物館     奇美博物館總面積約2000坪，位於奇美實業大樓第5至8樓，博物館藏品內容豐富多樣，包括古文物、世界頂級的珍貴名琴、數百年前的日本武士刀、文藝復興及各畫派之經典作品;此外，還包含鳥類、動物標本等多元化的收藏，讓觀眾即使不出國，也能欣賞世界各地的文化精髓，可謂立足台灣，放眼世界。 秀姑巒溪生態解說     秀姑巒溪是唯一發源自中央山脈東坡，而且貫穿海岸山脈的溪流，全年河水豐沛，為全台第一大河川。秀姑巒溪的下游，包括瑞穗鄉瑞美村以東到豐濱鄉港口村，這段河沿岸風景秀麗，水流湍急，是泛舟運動的主要河段，也是自然景觀最為豐富的地方，其變化之豐富，堪稱為大自然中的地理教室。秀姑巒溪下游瑞穗到大港口段，由於此河道切穿了海岸山脈形成峽谷，河道蜿蜒曲折，曲流及河階地形極為發達，兩岸幾乎是陡峻山壁聳立的地形。 傳統家屋內部解說    部落年輕人在耆老的帶領下，以傳統工法合力建造完成。在準備建材的時候，外地工作的年輕人，每到週末就分批回來採藤、砍箭竹。此外，明季還告訴我們，過去部落裡只要有人要蓋房子，年齡階級的年輕人都會義務幫忙。而準備蓋房子的材料也許耗費2到3年，但正式動工的時候，年齡階級一動員起來，沒幾天就可以把房子蓋好。在廚房後方還另有一間茅屋，每三年就會拆掉重建，目的是為了讓建造家屋的傳統和技藝持續傳承下去。早期升火困難，平常都是由老人家留守，不讓火熄滅。","","","","","","","2013年60條原住民族深度旅遊路線"
56,"20130901","河濱散記-阿美族的自然生活：奇美部落","阿美族","花蓮縣瑞穗鄉","","第一天：奇美傳統茅屋初體驗→溪邊放蝦籠、撿麥飯石→風味午餐→奇美文物館導覽解說（含豐年祭、捕魚祭文化，年齡階級講解）→石頭火鍋風味晚餐→奇美夜未眠（夜宿傳統茅屋，或部落民家）第二天：文化泛舟體驗（或登山古道）收蝦籠→風味午餐→賦歸","","兩個太陽一個月亮","在自然美景中來到充滿神秘色彩的古老部落，參觀奇美博物館，了解阿美族的傳統生活與工藝，在傳統的茅屋裡過夜。安排與大自然共生的體驗：到秀姑巒溪放蝦籠與三角網打水捕魚、自己生火煮飯，削竹做碗、筷與檳榔苞鍋子、阿美族童玩與手工藝DIY、奇美傳統石頭火鍋料理、與純真熱情的族人相處，體會原汁原味的奇美部落生活。","","","","","","","2013年60條原住民族深度旅遊路線"
57,"20130901","馬里巴西風情賞透透","太魯閣族","花蓮縣萬榮鄉","","一日遊：花蓮市區(火車站) →小巴→馬里巴西太魯閣","","一個太陽"," 萬里溪除了美麗的河谷外，處處是驚喜。萬里溪的石頭相當的漂亮，各式各樣的石頭，都有深綠的蛇紋石，有血紅的雞血石，深刻的紋路別具一番風味，只要花點心思四下張望，就會發現不少的寶。萬里溪為花蓮溪一大支流，流域範圍廣闊，源頭遙遠而水流漫，中游水量浩大，上游最出名的水源是中央山脈主稜丹大山脈上令人神往的拔子湖，溯行難度極高，自來我把循溪抵池當作溯溪活動的終極目標。 七彩湖七彩湖位於南投與花蓮交界處，六順山以北直線距離約三公里的中央山脈東側，行政區域屬花蓮縣萬榮鄉。七彩湖又名鹿池，據說過去常有成群的野鹿嬉戲其間。七彩湖還有另一個名稱：「七星湖」。該區位於七星崗伐木站，湖東就是林田山林場，因此林場的工作人員就以「七星」為湖名，據說是因為湖水常映夕陽，反射出七彩光芒，而起名。位於海拔二千九百公尺處的七彩湖雖深藏於高山峻嶺間，仍然吸引眾多山友不辭辛苦前往。七彩湖有大小兩湖，就如兩面清淨的鏡子。在此地紮營，領略大自然的幽美靜謐，坐擁湖畔山水的自在，欣賞夕陽黃昏美景及入夜後的滿天星辰，是人生一大樂事。 萬榮鄉原住民文物館萬榮鄉原住民文物館於九十五年度經行政院原住民族委員會評定為小而美的文化館藏，總面積為806平方公尺，是太魯閣族及布農族的文化綜點館舍，主要的規劃設計以提供技能訓練、藝術表演、文物典藏及展示等多元服務，並設有文化展演場、文物陳列室及小型會議室等設施，是一個貝有知識性、藝文性與休閒性的文化場域。 萬榮溫泉萬榮溫泉泉質屬於含鐵性氯化物碳酸鹽泉，是全省唯一碳酸鹽泉，水溫約攝氏 48 度，對於治療痛風、婦女病、神經麻痺等具一定療效。若想拜訪此區，建議可以聯絡當地的導遊或者熟悉此區的朋友當響導會比較安全，經過一段車程後得沿著萬里橋溪步行到營地，然後順著營地續行即可達溫泉區。萬榮溫泉的水質特別清晰，知道此溫泉的人不多，少了人為的破壞，還保持著最原始的風貌，前往萬榮溫泉最適合的時間是12月份到3月份左右，建議您盡量步行到此區不要開車，保持溫泉區最自然的原貌。 西寶溫泉林田山失落的繁華故事，隱藏在山中，而西寶溫泉位於林田山萬里溪境內，必須於枯水期乘四輪傳動車，沿河床前行，林田山當地居民常前往泡溫泉，山谷遼闊，河床寬廣，一路進入充滿野趣的大自然。逢季節可見野梅樹盛開，為一動人之梅花溪谷。 林田山林業文化園區林田山原名「摩里沙卡」(森林的日語發音，現稱森榮)，這個離花蓮市約四十公里，隱身在中央山脈腳下，因木材而繁華的小山城，民國50年代是林田山伐木的全盛時期，聚集了約四、五百戶人家，約二千多人居住於此，十足是因木材而繁榮的山中城鎮。　　光復後，林田的伐木數量漸漸減少，到民國七十八年就已停止伐木。曾因木材產業而盛極一時的林田山林場雖因林業政策的轉變，昔日『小上海』美譽的景況不再。不過，園區內仍保有許多當年遣留下來之特色建築與設施，如：日本式木造魚鱗黑瓦房的「日式住宅區」、運輸產地原木的「森林鐵道等等，其歷史意義與其建築語彙，為歷史紀錄不可抹滅的最佳佐證。　　林田山是台灣遺留下來最完整、最具特色的伐木基地，無論規模或重要性，都是台灣林業開發史上重要的據點與見證。近年來，林務局推動社區林業計畫，將林業帶入社區，社區結合林業，以再造林田山為一座林業文化園區的理想努力著，試圖用另外一種的內涵方式，使沉寂已的林田山風華再現。","","","","","","","2013年60條原住民族深度旅遊路線"
58,"20130901","宜蘭泰雅風情一日遊","泰雅族","宜蘭縣大同鄉","","一日遊：台北-松羅部落松羅國家步道-三個伊娜的店部落餐-泰雅生活館館內導覽-九寮溪生態園區導覽、解說【早餐：自理  午餐：三個伊娜的店泰雅風味餐】","","一個太陽","泰雅生活館傳承展現優美原住民文化。期望透過文化（物）館的設置，
 除能保存原住民傳統文物、紀錄部落的文化發展歷史之外，
 同時能成為地方鄉土教學、部落教育之自我學習與成長的場域。松羅部落松羅國家步道松羅國家步道，
 位於宜蘭縣大同鄉松羅村，北部橫貫公路宜蘭支線上，由松羅村進入步道入口，可見清澈見底的溪流，
 封溪後形成稀有的台灣鯝魚成群，水中翻肚的螢火蟲，令人驚艷。天然的溪瀑幽徑，幽幽地蜿蜒在茂密的森林中，沿著松羅溪而上的步道全長2公里多，保有原始豐富自然生態，也是蘭陽地區消暑最佳步道之一，是羅東林管處在宜蘭縣內已開闢的第六條國家級步道。 九寮溪生態園區九寮溪步道總長1.8km(園區至步道入口約2.2km)，屬典型的亞熱帶森林，旺盛的蕨類植物和地被植群、高聳的闊葉樹及樟科植物，還有各種昆蟲，沿途4座吊橋，有象徵祖靈之眼的豁雲橋，吊索做成的巴尬吊橋，以及沒有牌樓、橋墩的哈隘吊橋，一直到終點的拱橋是臨瀑橋，美麗雄偉的戈霸瀑布在眼前展開，讓人身心舒暢，因為先天的地質條件再加上九寮溪流的又快又急，於是切割出陡峭的河谷，也把原本平緩匯流口分出了高低落差，於是這個瀑布就如我們所見，高約50公尺，雨季水量大時，瀑布寬度可達5公尺垂掛在山的肩膀上。園區至步道入口路段較無林蔭遮蔽，建議可騎乘單車，十分涼爽，
 但後面路段為石頭路需較為小心。步道規劃完善，老弱婦孺皆可行走~","","","","","","","2013年60條原住民族深度旅遊路線"
59,"20130901","漫遊幽聖美地－雲霧故鄉比雅楠部落","泰雅族","宜蘭縣大同鄉","","一日遊：台北→比雅楠部落南山檜木林道→羅葉尾溪生態導覽、解說【早餐：自理  午餐：泰雅風味餐】","","一個太陽","南山檜木林道    南山檜木林區內有數十棵千年扁柏檜木，山徑林道途中盡是參天的古木，並攀爬著如手臂般粗的藤蔓。檜木林步道可連接思源埡口，是部落早期的遷徙山徑，相傳遠古以前泰雅族3兄弟，從南投帶著族人來到思源埡口後，決定分散往新竹、桃園、宜蘭、花蓮等地定居，分開前大家約定要永遠相互扶持，部落間如果發生了爭執，就回到當初祖先分手的地點和解。近年在南山檜木園區裡發生了4棵千年檜木、8棵紅檜樹頭被盗伐的事件，盜伐的山老鼠中有部分是司馬庫斯的族人，於是司馬庫斯耆老帶領部落族人回到思源埡口羅葉尾溪旁，與南山部落族人依照傳統舉行和解「血祭」儀式，以古調吟唱敘述遷移往事，並以小米酒敬告天地和祖靈。因此部落裡成立了比雅楠山林守護隊，捍衛南山部落的原始檜木林。羅葉尾溪    羅葉尾溪，泰雅語叫「Gon-bkan bilaq」,是大同鄉南山部落的Qyunam (傳統漁場)。過去這條溪有成千上萬的lngbang (櫻花鉤吻鮭)，部落每年到了五六月份時，就會由Mrhuw(頭目)召集各qutux gaga(半部族)的pklahang gaga(祭司)商討魚撈事宜，在魚撈活動結束後，部落就會按戶口平均分配魚穫，這是部落與櫻花鉤吻鮭在文化面的歷史連結。近年來因為自然環境的改變，櫻花鉤吻鮭因此失去了曾經屬於牠們的Gon-bkan bilaq，南山部落族人熟悉的櫻花鉤吻鮭也不復蹤影。2009年6月，雪霸國家公園在羅葉尾溪進行野放櫻花鉤吻鮭的工作，並積極的與南山部落社區領袖進行說明與諮商，由部落籌編一個常設性的護魚巡守隊，來負責放魚後的整個護魚護溪的任務。這幾年來，復育工作一直在持續的進行著，根據巡守隊表示溪裡的櫻花鉤吻鮭數量已有明顯的增加，魚的大小也有顯著的成長，慢慢開始有學校及民間團體跟部落聯繫，由部落安排導覽認識羅葉尾溪沿途的自然生態。","","","","","","","2013年60條原住民族深度旅遊路線"
60,"20130901","不一樣的月光.南澳人文記事二日遊","泰雅族","宜蘭縣南澳鄉",""," 第一天:和平站→澳花部落、澳花瀑布、澳花國小→武塔部落 (沙韻橋、紀念碑、武塔國小) → 金岳村 (沙韻紀念鐘、金岳基督長老教會)  第二天東岳部落巡禮(部落巡禮、部落泰雅風味餐)→南澳泰雅博物館→南澳泰雅鞋創意工坊+南澳咖啡→南澳火車站","","一個太陽"," 澳花部落    這是賽德克巴萊飾演年青莫那大慶的故鄉，2001年以前大慶從未離過開故鄉，在和平水泥廠任職大貨車司機，澳花瀑布是部落小孩、大慶最喜愛的戲水爬山的後花園，澳花國小成立於1927年，日據時期稱之為『台北州蘇澳大濁水番童教育所』，校內有一棵600年的老樟樹，大慶的母校也有大家相同的童年記憶。 金岳部落    發生於1935年泰雅族少女沙韻，為護送老師下山不慎落水失蹤，故事傳唱至今，金岳村是從舊部落遷村於此，林慶台未出道前在部落的教會傳福音，這裏有美的村莊，感動的故事。 南澳泰雅鞋創意工坊    2011年原民會永續部落產業輔導社區，南澳鞋的源起是社區發展協會理事長張遴，無意中結識了製鞋經驗豐富的師傅陳衛國，在台灣、印尼及大陸從事製鞋業已有41年，退休後返回南澳，南澳社區於是成立「泰雅創意製鞋工坊」，將泰雅族的圖騰與編織技術，全力發展泰雅手工鞋，為社區創造在地就業，發展在地特色。 東岳部落    東岳部落由宜蘭縣多必優原住民永續發展協會輔導， 擁有「山海樂園」之美稱的大東澳地區，因好山好水，美麗的東澳灣、金色的沙灘、高聳的青山、沁涼清澈見底的湧泉…，彷若一塊正被人發現的璞玉一般，大家爭相目賭與雕琢，在過去的一年裡吸引了不少外來的遊客到此一遊。以當地自然景觀，結合部落木雕工作室、泰雅舞蹈及泰雅美食等，推廣部落觀光休閒產業。    本年度持續發燒東岳原鄉之美遊程體驗，讓您重新定義「旅行的意義」，以和平的心靈、緩慢的腳步，細嚼旅途中所發生的每件事、遇見的每個人…傳統泰雅族的迎賓，帶領你探索原鄉之美。進入babaw kulu健康步道，就如同進入泰雅族部落的傳統領域，跟隨著泰雅獵人的腳步，沐浴在大自然的芬多精，看見泰雅文化之美、學習泰雅族人山林智慧，並藉由部落街巷道歷史與規劃的足跡、了解東岳部落營造歷程及欣賞原鄉的真善美。","","","","","","","2013年60條原住民族深度旅遊路線"
