Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
61,"20130601","再見!阿塱壹--南臺灣最後未開發古道‧南田石浪濤樂章","排灣族.卑南族.恆春阿美","屏東縣／台東縣","1.南迴公路 ：高雄→屏東（枋山鄉→楓港）→臺9線屏東縣獅子鄉→臺東縣達仁鄉→大武鄉→太麻里鄉循指標前進。2.花東縱谷 ：花蓮→臺9線臺東縣池上鄉→關山鎮→鹿野鄉→卑南鄉→太麻里鄉，循指標前進。3.花東海岸 ：花蓮→臺11線臺東縣長濱鄉→成功鎮→東河鄉→臺東市→太麻里鄉，循指標前進。","第一天 ：臺東火車站→三和村(臺灣原住民登陸紀念碑與原住民創世紀傳說)→嘉蘭社區災後重建社區的美，木工坊與布工坊的文創產業→南田石藝工坊(臺灣最美鵝形硬沙岩)、重點部落社區總營造→南田廚房排灣風味+排灣古調吟唱之夜。早餐 ：自理。午餐 ：新香蘭拉勞灣部落 或 嘉蘭媽媽廚坊。晚餐 ：南田廚房 或 港口海鮮風味。第二天 ：阿塱伊古道健行(全程約4小時)→旭海村、旭海溫泉→東源村哭泣湖下午茶(排灣族小米酒咖啡+烤芋頭乾)或鐵頭行動咖啡下午茶→臺東火車站(大武站)。早餐 ：自理。午餐 ：麻里巴部落廚房。 或 旭海村烏沃姆肉粽+養生茶。晚餐 ：自理。","全年","兩個太陽一個月亮","阿朗壹古道--南臺灣最後未開發古道 ：一條即將走進歷史的臺灣天然礫石海岸線，最後一段僅存6.9公里的阿塱壹古道，將成絕響。也許這一次將成為最後一次看到阿塱壹，聽說達仁鄉南田村至旭海段即將即將要開通，要開發與不要開通？南田村與旭海村民、政府立場、環保團體尚未妥協。這曾經是阿美族、卑南族遷移路線，在屏東南端與當地排灣族通婚，稱為斯卡洛族群，在旭海您可看到會抓魚的排灣族，會聽到會說排灣族話的阿美族。","南田村高富源村長、高玉珠(089)702-145、0922-287842、0955-717587。藍色東港溪保育協會(08)788-8438、actkr.taiwangmail.com。阿塱伊古道(旭海－觀音鼻暫訂自然保留區)入園申請/屏東縣政府全球資訊網站。","8月豐?祭（收穫祭）Masalut、五年祭(土板) ","排灣族 ：Navenala sun你好Masalu 謝謝卑南族 ：Inavayan你好Irayuwan謝謝阿美族 ：Ngaay ho kiso你好Aray謝謝","30人","約4950元","山葡萄麗園、南田村寄宿家庭","2012拜訪部落"
62,"20130601","牡丹鄉排灣族--CACEVAKAN 遺址、石門古戰場、萬金天主堂","排灣族、平埔族","屏東縣泰武鄉、萬巒鄉、來義鄉、車城鄉、牡丹鄉","屏東─24省道─水門右轉─185縣道─沿山公路─泰武營區右轉─泰武國小。","第一天 ：高雄(高鐵左營站)→泰武國小(古謠傳唱隊)→吾拉魯滋部落→萬金天主堂(開教始於1861年為全臺首位)→來義國小→日據二峰圳伏流水工程→車城→878年牡丹社事件的故事(琉球番民墓→石門古戰場)→排灣族風味BBQ+部落民歌演唱。宿 ：牡丹山莊、紅瓦屋民宿、茴香戀戀溫泉、哭泣湖石頭屋民宿。早餐 自理。午餐 ：在地風味料理。晚餐 ：排灣BBQ+部落民歌演唱。第二天 ：cacevakan 遺址/高士排灣族的古老部落)→佳德谷原住民藥物園區DIY→高雄。早餐 簡餐。午餐 麻里巴廚房 或 佳德谷原生植物園區。晚餐：自理。","全年","兩個太陽一個月亮","1. 重回1878年牡丹社事件--石門古戰場，聽部落族人訴說排灣祖先抗日的英勇故事。2.排灣族專業導覽進入排灣舊部落，認識排灣族傳統建築藝術、工藝及民俗植物。3.探索消失的石板屋王國cacevakan 遺址與高士（kuskus）排灣族paljilauljilau群的古老部落。4.品嚐麻里巴部落廚房或佳德谷排灣族創意料理。5.佳德谷原住民植物藥物園區 ：認識民俗藥用植物與花草DIY。6.四重溪泡湯 ：清泉山莊曾接待日本天皇之弟高松宮宣仁渡蜜月而擴建，已有８０餘年歷史，南臺灣大飯店唯一觀光溫泉旅館-景福山莊，民國４３年時先總統蔣公曾於山莊避暑。","牡丹山莊古英勇 (08)883-10760935-845213。","五年祭、7--8牡丹野薑花季、8月豐?祭 ","Navenala sun你好Masalu 謝謝","20人","約4500元","牡丹山莊、紅瓦山莊、茴香戀戀溫泉、哭泣湖石頭屋民宿","2012拜訪部落"
63,"20130601","東臺灣人文記事--美麗都蘭灣","阿美族、卑南族","臺東市、東河鄉","臺東市→中華路→中華大橋→１１號省道→１９７號縣道→富源→富隆→利吉月世界。","第一天 ：臺東利吉惡地→嘎嘎娃桑(石山部落)，永續部落產業與原創，社區空間美學巡禮→卑南史前博物館(卑南文化3000年的深入對話)→鐵花村原民創作歌手展演，與部落市集。宿 ：臺東原住民會館.或 臺東公教會館。早餐 自理。午餐 ：石山部落廚房。晚餐 ：米巴奈 或 岩灣客棧 或利嘉原始部落原住民風味餐廳 (可看夜景)。 第二天 ：都蘭藝術糖廠(駐村藝術家的對話、都蘭山劇場與阿美族老兵的故事)→都蘭灣的美麗海岸、都蘭鼻阿美族祖靈地→樹皮DIY→比西里岸PAWPAW鼓+下午茶→臺東火車站(機場)。若時間人數時間允許，建議安排東河瑪洛阿瀧阿美族貢多拉的竹筏體驗。早餐 ：簡餐。午餐 ：成功旗魚 或 部落達魯岸。 晚餐 ：卑南包子。","全年","兩個太陽一個月亮","1. 比西里岸PAWPAW 鼓樂團 ：三仙社區發展協會理事長陳春妹，為了建立部落人文產業，讓部落孩子們有學習的機會，與藝術家合作，將定置魚網船破舊浮筒切半作成手鼓，發出的聲音為PAW PAW，阿美族語的「paw paw」（音讀寶抱）意指浮筒。比西里岸pawpaw鼓創始人范志明善用阿美自然素材，結合傳統編織、圖騰彩繪、雕刻等，完成風格獨具的pawpaw鼓。在企業界及嚴長壽先生的參與下，現已成功讓小孩及部落族人走出不一樣的路，讓更多人看原鄉的美與簡單。","臺東縣臺東市富豐社區發展協會/宋博芳/0912788651、089-231817。比西里岸pawpaw鼓樂團 陳春妹/0988353122。","7-8月豐年祭、海祭。12月卑南大獵祭。","卑南族 ：Inavayan 你好Irayuwan謝謝","30人","約4200元","原住民會館 或 臺東公教會館","2012拜訪部落"
64,"20130601","花東縱谷單車人文旅行-鄉村、溫泉、部落","阿美族、撒奇萊雅族、布農族、卑南族","花蓮縣、臺東縣","搭火車前往花蓮火車站。約245公里","第一天 ：花蓮火車站→德固灣撒奇萊雅文化廣場、撒奇萊雅酒莊→吉安鄉七腳川部落→慶修院(七腳川事件與日本移民村）→東華大學→鳳林老樹→光復糖廠→校長夢工廠→馬太鞍部落紅瓦屋石煮野菜、下午茶→富源（拔仔庄）→瑞穗溫泉SPA。早餐 ：自理。午餐 ：便當＋水果。晚餐 ：瑞穗在地美食 (公里數 ：約90公里)。.第二天 ：瑞穗泛舟遊客中心（單車學校）→瑞穗大橋→麻汝稻田鄉間小路→高寮(赤科山金針花與火龍果)→東豐社區有機田→玉東自行道(秀姑巒溪玉里斷層)→長良→古風社區(布農族部落)→富里農會花海→大波國小池上斷層→伯朗咖啡大道→關山環鎮自行車道→分享之夜（單車VCR）。早餐 ：自助式早餐。 午餐 ：便當＋水果。 晚餐 ：關山在地美食(公里數 ：約90公里)。.第三天 ：武陵綠色隧道→永安部落（武陵外役監與峽谷斷橋）→龍田移民村、躺馬路(阿度導覽解說)→高臺茶園、飛行傘基地→鹿鳴橋(紅業村與紅葉少棒的故事)→龍過脈部落→卑南文化公園(卑南文化遺址)→琵琶壺、活水湖、南島文化公園→臺東火車站（機場）。早餐 ：自助式早餐 。午餐 ：愛嬌姨茶餐。晚餐 ：卑南包子或鐵頭大魚丸燒(公里數 ：約55公里)。","全年","三個太陽二個月亮","用單車發現臺灣人文角落之美，行程內含單車學校、人文導覽、社會公益、自我潛能發揮、團隊建立與分享。","部落單車達人/瓦旦.拉必0928-226043。臺東探索車行/林仁秋 0972-600772。","4月射耳祭。7、8月豐年祭。10月火神祭。","阿美族：Ngaay ho kiso 你好Aray謝謝撒奇萊雅族：Mahicato你好Kokay謝謝布農族 ：Mihumisang你好Uninang謝謝卑南族 ：Inavayan 你好Irayuwan謝謝","20人","約10000元 (花東臺東報到)","瑞穗虎爺溫泉山莊、黃家木屋溫泉山莊、瑞雄溫泉渡假山莊、富南磚窯屋、關山山水軒渡假村","2012拜訪部落"
65,"20130601","阿美族巴歌浪舞動之夜--水梯田海稻米、米粑流藝術村","阿美族、太魯閣族、噶瑪蘭族、撒奇萊雅族","花蓮縣鳳林鎮、豐濱鄉、新城鄉","沿臺九線南下，至鳳林鎮東行往海岸山脈側，即可通往箭瑛大橋。","第一天：花蓮火車站→箭瑛大橋(1977年兩位老師的故事)→海岸山脈的桃花源~吉拉卡樣(山興部落)→太巴塱阿美族發源地(阿美族祖源與史前石器文物)→沙娃綠岸下午茶+頸環DIY阿美族巴歌浪舞動之夜。早餐:自理。午餐:｢山興部落廚房野菜饗宴｣或｢四代務農餐坊｣ 。晚餐：｢沙娃綠岸｣或｢陶甕春天百合｣或｢升火工作室｣。.第二天：水梯田海稻米的天空與幸福(找回土地的生命，找回人與人互動的心，當花東海岸土地不斷被BOT、政府徵收、族人賣地，68戶居民約定不要休耕、不要賣地)→米粑流藝術村(駐村藝術家創作分享)→新社部落(噶瑪蘭族)→葛都桑音樂工作室+獵人學校→有臺灣原住民LV包品牌之稱的Yuli Taki工作妨→花蓮(新城)火車站。早餐:部落早餐。 午餐:櫻花田野養生無毒農業火鍋餐。晚餐：自理。","全年","兩個太陽一個月亮","1.石梯坪水梯田~海稻米：由於土地問題，1979年花蓮水利局將阿美族傳統耕作地斷水之後，那些滋養農作物的水路也荒廢，族人種植豐碩糧食的水梯田無法再供養族人，變成乾枯貧瘠。隨後土地跟流失，當土地長出來的不再是糧食，卻是一棟又一棟的民宿，阿美族行動藝術家｢舒米｣心痛不忍，絞盡腦汁尋求各方資源，要讓土地重新孕育出糧食、種出農作物。於是他們做的第一堂課是水田復育，讓水圳修復重現過去族人換工｢米粑流(互惠之意)｣的分享互助環境。","升火工作室 林鳳美(舒米)0910-864276。沙娃綠岸 陳英彥 03-8781243。","7-8月阿美族、噶瑪蘭族豐年祭。10月太魯閣族感恩祭、10月撒奇萊雅火神祭。","太魯閣族：Gmbiyax su ho你好Mhuwaysu balay謝謝撒奇萊雅族：Mahicato你好Kokay謝謝阿美族：Ngaay ho kiso 你好Aray謝謝噶瑪蘭族 ：Nngi aisu你好Wanai謝謝","30人","約6500元","德蕾沙山莊、巴歌浪船屋、千禧山莊、沙娃里岸寄宿家庭、石梯33號民宿","2012拜訪部落"
66,"20130601","南臺灣原鄉部落騎遇記(挑戰級)","排灣族","高雄市、屏東縣","國道3號→田寮下交流道→旗山→140縣道→美濃(往中正湖方向)。約250公里。","第一天 ：高鐵左營站專車接送美濃人字山莊→109線道美濃自行車道→鍾理和紀念館→東門樓→美濃自行車道→竹子門發電廠→新威森林→新威大橋→大津橋→高樹鄉自行車道→青山部落→馬兒部落→沿山自行車道(南臺灣著名最挑戰車道)→達卡蘭部落(綠色隧道、頭目家族文物館)→賽嘉部落→三地門地摩兒水門之夜。早餐 ：自理。午餐 ：美濃美綠緣生態農場客家風味。晚餐 ：排灣族勇士宴 。公里數 ：約70公里。第二天 ：藝術家參訪(排灣族貴族贈送幸運之珠)→涼山部落→185線道→吉貝木棉林→泰武國小(古謠傳唱隊)、吾拉魯姿部落→萬金天主堂→來義國小→古樓(伏流水工程)→屏鵝公路→車城→琉球番民墓→四重溪溫泉→分享之夜(單車VCR)。早餐 ：自助早餐。午餐 ：便當+水果。晚餐 ：洋蔥+鴨蛋風味餐或排灣族BBQ。公里數 ：約105公里。第三天 ：石門古戰場→牡丹水庫→牡丹國小→199線道→旭海村→26線道→九鵬永久屋基地→港仔村→響林村→長興國小滿洲鄉(人文古厝、海角七號場景)→風吹砂→鵝巒鼻國境之南→統一渡假村梳洗→恆春專車接送高雄左營站。早餐 ：自助早餐。午餐 ：便當+鮮魚湯+水果。晚餐 ：便當(包子)。公里數 ：約80公里。","全年","三個太陽二個月亮","用單車親近土地，暢遊南臺灣排灣族部落，藉由藝術、人文、美食、生態、歷史事件，發現臺灣人文角落之美，行程內含騎乘技巧教學的單車學校、潛能發揮、社會公益、企業團隊建立與分享。","部落單車達人/瓦旦.拉必0928-226043。臺東探索車行/林仁秋 0972-600772。","五年祭、7月麻里巴狩獵祭、8月豐?祭","Navenala sun你好Masalu 謝謝","20人","約19000元 (高雄報到)","文化園區鐵馬驛站、大洲花園渡假山莊、四重溪南臺灣大飯店、牡丹山莊、紅瓦屋","2012拜訪部落"
67,"20130601","原住民新桃花源--禮納里(RINARI)‧達瓦達旺舊部落","排灣族、魯凱族","屏東縣三地門鄉、瑪家鄉","由北部南下至臺南接南二高到屏東九如交流道下，沿3號省道行駛至屏東市，再接24號省道往三地門方向於水門村循指標右轉前行可抵(交流道至此約37公里)。","第一天：高雄左營高鐵站→原住民文化園區(臺灣原住民文化、建築、工藝、文化創 藝展示)→禮納里部落、紅黎工坊→排灣族勇士宴→三地門夜景。早餐 ：自理。午餐 ：文化園區或禮納里部落廚房。晚餐 ：山中天或答發給力。第二天 ：地摩兒的早晨(07 ：00點以前三地門彷如天堂)→達來達旺舊部落探索(農用法拉力+健行45分鐘、石板屋遺址→全臺最大的石板屋聚落)→舊部落野餐→排灣族藝術家參訪+下午茶(山中天、古琉坊、青蜓雅築、沙滔琉璃藝術工坊、排灣三堡、彭春林編織工坊..)→高雄左營高鐵站。早餐 ：活力早餐。午餐 ：野餐。晚餐 ：自理。","全年","兩個太陽一個月亮","1.禮納里(Rinari) ：排灣族的名稱為Rinari，意為「我們一起走，大家一起往那兒去的地方」。莫拉克88水災後，政府與世界展望會合作，援建禮納里部落，提供好茶、大社、瑪家部落居民安居進住。原住民歷經不同朝代與人為天災，2011年後，排灣、魯凱族人在里納禮重新孕育人文、藝術、安靜、自然、悠閒的社區桃花源。","林晨意 08-7740475 7703202轉7143 屏科大森林社區研究室。","7月魯凱族小米祭、8月排灣族豐?祭","魯凱族：Margagi musu你好Takdrengesu謝謝排灣族：Navenala sun你好Masalu 謝謝","20人","約4000元","大洲花園渡假山莊、山中天、原住民寄宿家庭","2012拜訪部落"
68,"20130601","探索布農族最神秘面紗--武界、曲冰遺址","布農族","南投仁愛鄉","沿臺14線剛要進入埔里市區前需先過一座「愛蘭橋」過橋後(紅綠燈)馬上右轉→直走到底→再右轉→往武界方向。"," 第一天：南投埔里小鎮→麒麟國小(藝術又美麗的校園)→武界部落人文生態巡禮(法治國小、思源吊橋、舊武界霸(大觀水庫)、石頭城→夜間觀察+烤肉+小米酒+布農族的民歌。早餐 ：自理 。午餐：埔里紹興風味。晚餐 ：部落有機餐 或 烤肉BBQ。第二天：溯溪(曲冰橋、石板灌渠、原始林、精靈瀑布、水濂洞、天使瀑布群，溪谷景觀與天然SPA)→曲冰遺址(探索1500→2000年鐵器時期文化，史前石器與陶片遺址，尚保存完整的岩棺遺址)→松林舊部落(阿郎打亞)→萬大水庫→人止關→埔里。早餐 ：活力早餐。午餐 ：部落風味。 晚餐 ：自理。","全年","兩個太陽一個月亮","1.武界、曲冰 ：武界、曲冰對大多數來說既熟悉又陌生，所以還保有原來傳統與自然，是布農族分布最北的社群，布農族(干卓萬群)曾與賽德克族(霧社群)發生多次爭戰，其中最有名的就是『姐妹原事件』，武界曲冰位於奧萬大下游、埔里上方與仁愛鄉間的山林峽谷中，海拔750公尺，每當清晨日出曙光微微照亮，朦朧雲層瀰漫著整個寧靜的部落、仿如披著薄薄神祕面紗，夢幻於山脈溪流峽谷間，有「雲的故鄉」美譽。","南投縣仁愛鄉武界社區發展協會/楊志明 0910-74227404-25687018。武界休閒民宿 049-2977066，0963249463、0928955468。","5月射耳祭 ","Mihumisang你好Uninang 謝謝","15人","約4800元","武界休閒民宿(石板屋)、達瑪拉善民宿、虹谷農場民宿、部落寄宿家庭","2012拜訪部落"
69,"20130601","渡邊吉海秧--大農大富平地森林單車遊","阿美族","花蓮縣光復鄉、壽豐鄉","花蓮糖廠門口→右轉中山路（北上）→光復橋→光復橋北端左轉前行穿越臺9線→穿越東線鐵路→右轉後第一個路口左轉→沿指標前進。","第一天：花蓮火車站→馬太鞍溪無毒農場→大農大富平地森林單車遊→太巴塱部落祖靈屋(祭祀祖先、太陽神、月亮神)、沙娃衣冠塚與馬佛古戰場(卑南族與太巴塱、奇美阿美族人近200人，為營救阿美族沙娃公主引起事件)→「大地廚房」大灶飯與稻草桶仔雞→「迎賓之夜」歌舞或｢阿道行動藝術｣。早餐:自理。午餐:渡邊吉海秧。晚餐:阿山大地廚房。第二天：小農謝新福家「穀倉旁的新米早餐」→體驗馬佛教會原住民語禮拜→加里洞部落(小農米場與香茅油廠參觀體驗)→鳳林日式煙樓→鯉魚潭樹屋下午茶→慶修院(七腳川事件與日本移民村)→花蓮火車站。早餐:自理。午餐:山興部落廚房 或 月蘆客家風味餐。 晚餐:自理 。","全年","二個太陽一個月亮","1.馬太鞍溪無毒農場--回家種田 ：阿昌五年前從臺北返鄉(太巴塱)，利用家鄉豐沛水源和純淨的水質，投入無毒農業的發展，用有機肥改變土壤的酸鹼值，休耕期間灑下油麻菜種仔當堆肥，大片的油菜花田倒成了過年期間的花海，經4--5年改良，栽培出高纖維低熱量的養生米。2.渡邊吉海秧的故事 ：園區從日據時代已經存在，日治時期是河床地，山區有大新瀑布帶來豐沛水源，地表看不到水流，但地下伏流密佈，形成很多沼澤地無法耕種，阿美族人稱為「吉海秧」，是水源充沛也是自然湧泉的意思，60年前高有民的父親只好挖池子養魚，當年魚、蝦、螺很多，不少人跑到這裡抓魚、偷魚、電魚，父親自糖廠退休後才真正到這裡，後來高有民接手繼續養魚，96年開始養吳郭魚(臺灣鯛)，97年渡邊惠子返鄉看到這裡水質極佳，於是商量一起合作，並命名為「渡邊吉海秧」。","臺灣原住民農經發展協會蘇建昌理事長 ：0933-234228。吉海秧高有民總經理 ：0937-947688。大地廚房蕭明山 ：0916-284-266。小農餐謝新福(大象) ：0910-130781。","7-8月豐年祭","Ngaay ho kiso 你好 Aray謝謝","15人","約4200元","渡邊吉海秧民宿、渡邊社長的家、馬太鞍驛站、欣綠農場石頭屋、盛夏的軌跡","2012拜訪部落"
70,"20130601","學習土地倫理--巒山森林博物館","布農族","臺東縣","由池上循20甲省道進入南橫公路上的初來檢查哨，全程5.8公里；若由臺東方向北上者，至海端時，循20號省道直驅出來。","第一天 ：海端鄉(布農族文物館)→拉瑪達星星雕塑像(布農族抗日英雄)→南橫東段精華(霧鹿部落、古炮臺、霧鹿國小、霧鹿事件)→霧鹿古道、溫泉→延平鄉紅葉少棒紀念館→布農部落→鸞山森林博物館→夜間觀察、大自然的交響樂章。早餐：自理。午餐 ：天龍飯店。晚餐 ：森林博物館(自己劈柴煮飯)。第二天 ：森林早餐→向土地、森林學習(生態智慧教育、獵人學校、布農族古老傳說、整地、種樹或農作物)。森林午餐→駐村藝術家參訪→→九鳥陶燒→鹿野火車站。早餐 ：森林早餐。午餐 ：森林野味餐。晚餐 ：自理。","全年","兩個太陽一個月亮","1.走訪東部布農族郡社群--南橫東段部落風景，探訪1943年黑澤隆朝採集布農歌謠--祈禱小米豐收歌(八部合音)的原鄉，歷史事件與族人遷移史。2.重回1968年紅葉少棒打敗日本和歌山明星棒球的故事，它是臺灣棒球王國關鍵點，也是起點，那些紅葉小將的故事您知道嗎?他們在那裏?3.駐村藝術家--九鳥陶燒，廖光亮帶您進入原住民的陶藝世界。4.阿力曼自東華大學研究所畢業後，回到故鄉巒山，成立一個連地標都沒有的森林博物館，向土地學習一顆尊敬、謙卑的心，在森林裏您試著去聆聽，去攀爬，去感受森林為人類所做的一切。這是一個有生命、會呼吸，連樹都會走路的森林博物館。5.您多久沒聽得到風、鳥、蟲的聲音，您多久沒有與星星對話？這趟行程可以讓自己安靜一下，您可以聽到森林在說話。","鸞山森林博物館館長/王土水(阿力曼) 0911-154806。","5月射耳祭","Mihumisang你好Uninang謝謝","20人","約4800元","布農族傳統茅草屋 ","2012拜訪部落"
71,"20130601","烏來溫泉--野要-獵人學校野趣體驗一日遊","泰雅族 ","新北市烏來區","1.臺北→羅斯福路→北新路→北宜路→新烏路→烏來。2.宜蘭→北宜路→新烏路→烏來。3.中山高 ：圓山交流道→建國南北快速道路→辛亥路→基隆高架道路→新店環河快速道路→碧潭→北宜路→新烏路→烏來。4.北二高 ：新店交流道→北宜路→新烏路→烏來。","新店捷運站→屈尺(泰雅遷移史)→泰雅博物館館內導覽→野要獵人學校(竹筒飯DIY、野炊進行式 (獵人食物分享屋)、弓箭DIY/泰雅射日傳說、狩獵DIY/泰雅獵人技能、強羅櫻花公園步道導覽→烏來瀑布商圈、泡湯→新店捷運站。","全年","一個太陽","1. 野要獵人學校 ：為提倡自然生態保育觀念，近幾年獵人學校遍及原鄉部落，各有不同主體挑戰與趣味，野要森林獵人學校(福山、給樹的家)是最靠近都會區的獵人體驗區，女主人黃愛珠曾是烏來山地文化表演臺柱，也是烏來區休閒產業發展協會理事長，對於泰雅傳統文化、烏來的過去與現在發展歷史，都能夠深度與旅客分享，在這裏您必學習觀察環境、尊重傳統自然禁忌、炊煮竹筒飯、製作陷阱、泰雅歌舞演習、獵人智慧、張弓射箭，這些體驗希望能融入現代生活中，渴望有一點簡單的快樂。","烏來區休閒產業發展協會理事長黃愛珠 0925209586。","8月感恩節","Lokah su你好  Mhuway su 謝謝你","15人","約1200元","無","2012拜訪部落"
72,"20130601","Hnuway水資源生態教育步道~高義蘭.比亞外泰雅生態文化體驗","泰雅族","桃園縣復興鄉","1.臺66線東西向快速道路往大溪方向→大溪交流道下→臺3線(員林路)→沿指標可至。2.臺北→國道三號→三鶯交流道→復興路→中山路→仁愛街→中園街→中正路→大埔路→臺七乙→北部橫貫公路→高義蘭部落。","第一天 ：桃園縣原住民文化會館→高義蘭部落(部落文化導覽、泰雅生態文化體驗)→Hnuway水資源生態教育步道→泰雅DIY→達觀之夜(泰雅歌舞帶動跳) 。早餐 ：自理。午餐：部落風味。晚餐 ：泰雅灶腳。第二天 ：早晨的陽光→拉拉山神木(泰雅神話與民俗植物)→比亞外部落→羅浮雙橋→角板山歷史文物館→斯嘎蓋打啦。早餐 ：活力早餐。午餐 ：納桑麻谷餐廳。晚餐 ：自理。","全年","兩個太陽一個月亮","1.  Hnuway水資源生態教育步道 ：社區共識是目前部落重建的普遍認知，高義蘭部落經由高義社區發展協會的努力，在Hnuway溪邊，設置生態步道。步道全程隨著溪岸的地形，以完全不破壞自然為出發點。應用天然木板、架棧道、砌石階，提供給遊客安全，與部落族人一起親近Hnuway水源生態。2.羅浮雙橋 ：復興鄉有兩座著名的跨河大橋就是【復興橋】和【羅浮橋】，為北橫公路名勝之一。【復興橋】和【羅浮橋】兩橋相隔100公尺，並列而行，橋身一為紅色、一為淡紫；一宏壯、一優美，雙橋與山光水色相輝映，成為吸引遊客駐足的景點。3.比亞外有機農園生態體驗 ：三、四千年以來泰雅族在山上過者狩獵農作、自給自足的簡單生活，部落謹記遵守部落傳統的規範紀律，不願過度開發土地及漁獵資源，只從大自然取得最基本的生活需求，代代相傳了數十世紀。如果您嚮往大自然，樂於了解泰雅族與自然環境的相處模式，以及祖先們所遺留下來的生態智慧，和農村生活的小趣事，歡迎您帶著開放的心和親朋好友來到比亞外。","桃園縣復興鄉高遶部落文化產業發展協會/簡月香 03-3821362。高義社區發展協會 姜裕福  0936-916601。","8月感恩祭","Lokah su你好  Mhuway su謝謝你","15人","約3900元","達觀渡假農場、部落寄宿家庭","2012拜訪部落"
73,"20130601","嘎色鬧泰雅農夫~竹頭角木琴樂舞一日遊","泰雅族","桃園縣復興鄉","臺66線東西向快速道路往大溪方向→大溪交流道下→臺3線(員林路)→沿指標可至。","桃園縣原住民文化會館(大科坎群編織密碼、駐村藝術家米路.哈勇幾米繪畫創作)→樂信瓦旦紀念公園(泰雅族林瑞昌與阿里山鄒族高一生，兩位原住民的智者，在交替的年代被犧牲了)→嘎色鬧部落廚房風味餐→嘎色鬧部落有機蔬果DIY→竹頭角泰雅木琴樂舞展演→那山咖啡下午茶(迪瓦斯的故事)→斯嘎蓋打啦(回程)。","全年","一個太陽","1.嘎色鬧部落 ：嘎色鬧以豐富的自然資源為傲，尤其是在冬天時節，常常被山嵐霧氣所籠罩，因此孕育著豐富的野生動物以及獨特的山林植物，在教會牧師帶領下居民自行栽種蔬果農作，包含五月桃、綠竹筍、高山蔬菜、生薑…等，提供就近都會友人農夫耕植體驗樂趣。2. 竹頭角部落 ：泰雅族的古老傳說您聽過嗎？從不會看譜到會看豆芽樂譜，樂團們僅花兩個月就學會，竹頭角部落的美景，竹頭角木琴樂舞，等著您來鑑賞，優閒的品嚐那山咖啡。","桃復興鄉觀光導覽協會/林英蘭 0975-780017。桃園縣復興鄉長興社區發展協會曾俊明總幹事/0921-211571。","8月感恩節","Lokah su你好  Mhuway su謝謝你","15人","約1600元","無","2012拜訪部落"
