Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
74,"20130601","大隘賽夏矮靈祭--清泉故事篇","賽夏族","新竹縣五峰鄉","經北二高竹林交流道（90Km）→120線道→右轉竹林大橋至竹東→122線道南行抵五峰鄉。","第一天 ：竹東→五峰日據神社遺址→大隘文物館、矮靈祭場→民都有雕刻園區(木雕藝術、賽夏編織、生態導覽)。早餐 ：自理。午餐 ：五峰在地美食。晚餐 ：民宿私房菜。第二天 ：白蘭部落→張學良故居(東北張少帥被蔣介石軟禁之地)→清泉天主堂(丁松青神父玻璃藝術)→三毛故居(短暫停留寫書，1983年至1986年幫美籍丁神父翻譯著作→「清泉故事」、「剎那時光」、「蘭嶼之歌」三本書)→清泉溫泉/清泉咖啡→竹東。早餐 ：自理。午餐 ：白蘭農場或清泉部落廚房。 晚餐 ：自理 。","全年","二個太陽一個月亮","1. 五峰大隘矮靈祭-巴斯達隘 ：賽夏族以鵝公髻山為界，分南北賽夏兩群，賽夏族祭典是以矮黑人傳說為典故，全靠長老口耳代代相傳，得以完成祭儀。相傳賽夏族與達隘族隔河同居，達隘人身高不及三尺，行動敏捷、矯健，擅農事及巫術，達隘族人教導賽夏族人耕作，年年豐收，自給自足，年年達隘族受邀宴同樂，常調戲賽夏族婦女，引起部落青年不滿設陷報復，僅倖存兩位老者，其餘全掉落山谷，兩位達隘老者教授祭歌給賽夏族人，隨即往東方離去，再也沒有人看見矮黑人。從此少了達隘族人幫忙，耕稼農事年年欠收，部落也多次發生嚴重的瘟疫，族人病死慘重；從此長老們決定以感恩、贖罪的精神舉行巴斯達隘矮靈祭，祈求部族平安，農耕豐收。","新竹縣五峰鄉部落多元經濟產業文化發展協會/趙心慧 03-5851046。新竹縣鵝公髻山多元文化產業發展協會/趙郁清 0975-582927。","奇數年 ：11月矮靈祭(2年一祭.10年一大祭)。偶數年 ：祈天祭 
","So’o Kayz aeh ay你好Ma’alo謝謝","15人","約3900元","民都有雕刻園區民宿、白蘭山莊、天山休閒農場、大隘櫻之林休閒農場、巴斯瓜藍民宿…等","2012拜訪部落"
75,"20130601","泰雅千年-- SMANGUS-泰崗伊汎長老秘密花園有機餐","泰雅族","新竹縣尖石鄉","1.關西交流道下，循118縣道至關西，接臺3線往橫山方向，於十分寮轉120縣道東行7公里，即達尖石鄉。全程約23公里。2.竹林交流道下，循120縣道16公里，即達尖石鄉，往秀巒、泰崗牌樓前右轉過一個山頭就到司馬庫斯。","第一天 ：竹東→尖石鄉(錦屏大橋泰雅雕像)→那羅村天主教堂(電影老師斯卡也答那的回憶，蘇麗雲修女26歲從義大利帶著上的愛，來到那落照顧部落小孩，傳上帝的愛)→泰崗部落(伊汎長老的密秘花園、有機疏果區、爺爺的博物館、養生醋)→司馬庫斯部落導覽(Koraw自然生態公園，森林小學、基督長老教會、司立富觀瀑步道)→部落咖啡屋→分享之夜(司馬庫斯的共管機制、傳統GAGA文化與現代主流對話) 。早餐 ：自理午餐 ：伊汎長老松木烤肉+有機蔬果餐晚餐 ：司馬庫斯部落餐廳 。第二天 ：森林的早晨→檜木原始森林健行(生態界譽為全世界保存紅檜扁柏最原始森林，部落專人導覽泰雅族傳統領域與生態保育、小米田種植)，來回健行約5小時→內灣老街(懷舊小吃與劉欽興漫畫館)→竹東。早餐 ：活力早餐。午餐 ：司馬庫斯部落參廳。晚餐 ：內灣老街美食(自理)。","全年","兩個太陽一個月亮","司馬庫斯 SMANGUS ：1976年以前這個地方沒有電，族人每天得花數小時以徒步方式越過河谷到達新光部落，利用當地的道路和外界聯繫、取得民生物資、小孩就學。過去被稱為「黑色部落」。1990年司馬庫斯頭目與部落族人思考未來發展，決定以?社區共營?的方式經營部落。2012年英國導演強生與史密斯，費時一年記錄司馬庫斯部落族人，如何遵循先人的智慧回復泰雅族傳統，透過檜木群的發現，引導部落經營生態旅遊、環境保育。這部紀錄片已獲美廣電界最具權威的PEABODY大獎。","司馬庫斯旅遊服務中心 03-5847688。部落達人 ：伊凡˙度耀 0919-717184。","8月 感恩祭","Lokah su你好Mhuway su謝謝你","15人","約4900元","司馬庫斯恩典之家系列","2012拜訪部落"
76,"20130601","雪見舞動森林~天狗部落.象鼻古道健行","泰雅族","苗栗縣泰安鄉","1.中山高(國道1號)下苗栗交流道，接臺６線(或接臺72線)至大湖市區，續轉(苗61線)，過中興檢查哨後沿指標(梅園、象鼻、士林)直行即可到達(山區無加油站設備，請於平地加滿油後前往)。2.中山高豐原路段轉國道4號往石岡、東勢方向，下石岡交流道後，接臺3線續往東勢，進入東勢鎮後，走豐勢路至第一橫街左轉東崎路(中47線)往達觀、象鼻方向前行，沿途經竹林、達觀、桃山等部落後，循象鼻或梅園指標即可到達。
","第一天 ：卓蘭→象鼻部落古道健行(長3公里的日據理蕃古道)→野桐工坊文化園區(從博物館找回泰雅傳統服飾，讓失傳沒落的編織文化再現)→泰雅營火晚會(頭目營火相傳、泰雅歌舞、泰雅婚禮、打麻糬)→夜宵(碳烤燒)。早餐 ：自理。 午餐 ：部落廚房。 晚餐 ：達啦灣文化園區。第二天：天狗部落與紋面耆老有約→雪見森林遊憩區(臺灣首座生態公園示範區)、司馬限林道、二本松駐在所丸田炮臺、舞動森林劇場→大安溪部落共同廚房(蔬果、農特、工藝、美食)→卓蘭。早餐 ：活力早餐  午餐 ：大安溪共同廚房 或 雪見森林野餐  晚餐 ：自理 。","全年","	兩個太陽一個月亮","1. 大安溪部落共同廚房 ：921大地震後，大安溪部落工作室的林建治和黃盈豪蓋了一間部落共同廚房，實踐了部落共食共享、互相照顧的傳統文化。2. 野桐工坊泰雅染織文化園區野桐工坊主人尤瑪．達陸，從她的外祖母身上，學會了各種傳統織布的技巧，造就了實務與學術兼俱的國寶級泰雅染織編織大師。","達拉灣文化園區民宿黃文志037-962349。大安溪部落共同廚房 04-25911550、25911056。","8月感恩節 ","Lokah su你好 (加油) Mhuway su謝謝你","15人","約4900元","達拉灣文化園區民宿 黃文志037-962349 大安溪部落共同廚房04-25911550、04-25911056","2012拜訪部落"
77,"20130601","與GAYA的約定--賽德克巴萊","賽德克族 ","南投縣仁愛鄉","中山高→中港交流道→中彰快速道路→草屯交流道下→國姓→埔里，循臺14線(中潭公路)到達埔里地區，再往霧社方向前進，位於臺14線約74公里處往霧社、合歡山中途的大觀橋與仁愛橋間，即可見到人止關的一座公園紀念碑直立在路邊。"," 第一天 ：埔里→人止關→仁愛鄉霧社事件歷史回顧(日人霧社事件殉難殉職之墓→霧社公學校遺址→莫那魯道紀念碑)→(巴蘭社→霧社)→司庫社(雲龍橋) →羅多夫社→參訪荷歌社手工藝工作室?塔洛灣社→馬赫坡→感恩歡樂聚會營火之夜(營火晚會+BBQ)。宿：霧社露比景觀民宿、春陽櫻花村民宿、美燕坊民宿、部落尋奇溫泉民宿。早餐 自理 。午餐 紹興宴或香草餐。 晚餐 ：營火BBQ 或 風味餐。第二天 ：馬赫坡古道或荷戈富士山(花崗二郎走上彩紅橋最後場景)→眉溪賽德克公主工藝坊→清流(川中島)→清流遺生紀念館、部落工藝坊→力馬生活工坊。早餐 ：簡餐 。午餐 ：眉溪(泰雅風味)。晚餐 ：力馬生活工坊。","全年","兩個太陽一個月亮","1.從行程中認識gaya(gaga)在賽德克族人或泰雅族人文化中意義。2.從巴蘭社起尋找1931年10月27日霧社事件現場，無論紀念碑、傳統建築遺址，老人口訴，在那個大時代已是相對和平穩定的環境裏，為何會爆發如此震驚世界的對日戰爭？3.清流部落探訪德奇達雅群遺孤的部落，在地部落導覽人員過去少有聽到的賽德克族傳統的故事。4.清流部落體驗原住民工藝坊。","部落達人 ：潘杰(頭目)0932-553734。賽德克公主 0980-618791。","12月收穫節 ","malusu 你好 Mahuway su balay 謝謝","20人","約4900元","霧社露比景觀民宿、春陽櫻花村民宿、美燕坊民宿、部落尋奇溫泉民宿","2012拜訪部落"
78,"20130601","發現巴庫拉斯--布農族古老部落自然遺址","布農族","南投縣信義鄉","國道一號 ：由中清交流道下，接中彰快速道路至臺14線，轉國道三號由竹山交流道下，續行臺3線至水里接臺16縣道即可到達地利、潭南、雙龍部落。","第一天 ：竹山→沉潭荷花田→潭南國小(傳統與現代建築)、雙龍國小(祖先的腳步與)→達瑪巒文化藝術團展演(布農族生命祭儀，含世界著名的八部合音、古南島民族原始的弓琴、五弦琴表演)→巴庫拉斯的幽靜與夜晚。宿 ：阿力曼山莊 或 蘇斯共農莊 或 巴庫拉斯生態農莊。早餐 ：自理。午餐 ：沉潭荷花田。晚餐 ：阿力曼山莊 ：原住民風味+烤全豬(山胡椒鹽烤山豬)。第二天 ：日出→巴庫拉斯古老部落探索(舊部落+室內葬遺址，關門古道、日本番童教育所、濁水溪涉水體驗)→蘇斯共農莊下午茶(布農族香草茶)→力馬生活工坊人文藝術餐廳(原客風味+卑南古調演唱)。早餐 ：部落早餐。午餐 ：部落野味餐。 晚餐 ：力馬生活工坊。","全年","兩個太陽一個月亮","1.探訪布農族古老部落(報戰功舊部落廣場、石板傳統屋、蕃童教育所)。2.夢幻瀑布山泉SPA (原住民個人傳統領域)。4.達瑪巒布農族傳統歌謠，瞭解布農族生命祭儀，體驗布農族杵音敲打樂趣。5 921地震後重建的特色國小--潭南國小參訪。6.濁水溪涉溪，體驗水流、滾石、河岸赤腳的大自然。7.原住民風味餐+布農族烤豬，力馬生活工坊人文藝術空間+卑南古調欣賞。8.您多久沒聽得到風、鳥、蟲的聲音，您多久沒有與星星對話、欣賞晚霞之夜?","達瑪巒原住民重生協會 049-2742108。部落達人 ：金雅惠 0916-040691。","5月 布農族射耳祭、播種祭","Mihumisang你好Uninang謝謝","25人","約6500元","阿力曼山莊、巴庫拉斯農莊、蘇斯共農莊","2012拜訪部落"
79,"20130601","開門見玉山--望鄉部落.八通關古道","布農族","南投縣信義鄉","1、國道一號 ：由中清交流道下，接中彰快速道路至臺14線，轉國道三號由竹山交流道下，續行臺3線至竹山，接集山路至中和國小沉潭巷轉彎即可到達沉潭荷花田陶工房。2、國道三號 ：由竹山交流道下，續行臺3線至竹山，接集山路至中和國小沉潭巷轉彎即可到達沉潭荷花田陶工房。","第一天：烏日高鐵站→南投竹山鎮→沉潭荷花田→望鄉部落(臺灣唯開門見玉山的部落，也是植種萬櫻萬楓的部落、布農族傳統與現代歌舞展演、布農族年青文學家~乜寇．索克魯曼｢豆類媽媽的故事｣一個部落傳統農作物的在地行動→東埔溫泉SPA。早餐：自理 。午餐 沉田荷花田李媽媽私房菜。晚餐：東埔在地美食。第二天：八通關古道健行(父不知子斷崖→樂樂谷或雲龍瀑布，全程約五小時)→信義酒莊(山豬迷路)→久美部落(最北的鄒族)→豐丘葡萄→烏日高鐵站。早餐：活力早餐。午餐：在地風味。晚餐：自理。","全年","二個太陽一個月亮","1.東埔望鄉部落：望鄉位於阿里山脈的中段，海拔900公尺的陳有蘭溪之河階臺地上。氣候晴朗時可直接眺望玉山北峰及主峰，有著『開明見玉山』的美名，年平均溫度約20度，為最佳避暑勝地。在地居民皆為布農族巒社群，分別來自巒大山及郡大山中游流域十幾個聚落的居民，原所在地是鄒族Joqtu社群的祖居地，1938年理番政策被日本集團移住此地。｢望鄉｣是日本人取的，因盛產一種名叫kalibu的植物，後來族人稱本地為kalibuan。望鄉部落家家戶戶門口皆寫有家族事蹟，外人一看就知到這個家族的來歷。這裏也出現原住民第一位派任駐斐濟大使的尤哈尼˙伊斯卡卡夫特。","臺灣原住民部落永續發展協會 呂淑美 049-2702170。望鄉旅遊服務中心 049-2702683　049-2702681。","5月射耳祭","Mihumisang你好Uninang謝謝","25人","約4500元","望鄉民宿區、帝綸大飯店、沙里仙溫泉渡假村","2012拜訪部落"
80,"20130601","塔山下的幸福--來吉部落˙鄒式下午茶","鄒族","嘉義縣阿里山鄉","1.由南二 ：高下中埔交流道→往觸口，接阿里山公路→至石棹(約臺18線49公里處)→轉169線道→過奮起湖接嘉155縣道前行，即可抵來吉。2.由中山高 ：下嘉義交流道→159縣道至嘉義市→沿臺18號省道(世賢路、吳鳳南路)接阿里山公路上山→至石棹桌(約臺18線49公里處)→轉169線道→過奮起湖接嘉155縣道前行，即可抵來吉。","第一天 ：竹山→草嶺→來吉部落(工藝藝術家部落巡禮、石頭教會、塔山工作室之鄒族音樂奇女子→白紫、天水木雕工作室、藝術餐廳→洗衣板女人)→阿里山鄒族之花→→湯蘭花的家→鄒族戰舞之夜+營火晚會(哈莫瓦那舞團表演)→夜間觀察(生態解說)。早餐 自理：午餐 來吉部落。晚 ：鄒族風味餐、竹桶飯、附鄒族傳統小米酒。第二天 ：部落創意產業DIY〈自製竹杯、存錢筒、祭典竹鳴器、湯瓢、竹敲、酒壺等〉有機愛玉子體驗，教您洗愛玉子，製作天然愛玉果凍→奮起湖森林鐵道文化→樂野部落尋找鄒族遷移歲月→鄒式下午茶 (阿里山咖啡王子、阿將的家)。早餐 簡餐。午餐 阿將的家或優巴思或山樂園。晚餐 ：自理。","全年","兩個太陽一個月亮","1.尋訪鄒族聖山--塔山下部落田園。2.湯蘭花的故鄉(鄒族第一位歌星) ：來吉部落巡禮、來吉石頭教會、皮雕藝術、部落產業工坊。3.鄒族戰舞之夜--看見的鄒族青年力與美。4.造訪鄒族藝術村--樂野部落，認識鄒族人文故事。5.阿里山森林鐵道--奮起湖站，見證世界三大森林鐵道與老街風情。","蘭后民宿(05)2661-1720 0911-179902。來吉村長陳有福 0934-179197。","2月戰祭、3月貝神祭、米貢祭","Yokeoasuu祝您順利.健康. Aveoveoyu 謝謝 (您好)","20人","約4900元","蘭后民宿、哈莫瓦那、來吉鄒族渡假村","2012拜訪部落"
81,"20130601","那瑪夏區--布農族藝術生態","鄒族、布農族","高雄市那瑪夏區","1. 臺20線 ：玉南公路從玉井往左鎮、新化、永康到臺南，為本區主要交通要道。 2. 臺3線 ：從楠西經玉井到南化為一連繫各觀光遊憩據點的景觀道路。 3. 東西向快速道路（臺84線） ：從玉井經大內區至北門區，現已完成玉井到省道臺一線部份，可連接麻豆交流道或走臺一線到新營交流道上中山高速公路。","第一天：玉井(焦吧年事件紀念碑)→甲仙(芋頭、竹筍故鄉)→工藝坊體驗DIY(海舒兒陶藝工作坊、銀寶布農文化工作室、築夢工坊)→那瑪夏布農族營火之夜。早餐：自理 。午餐：甲仙鄉村風味餐。 晚餐：布農族風味餐 。第二天：那瑪夏→五里埔平埔文化館｢小林夜祭與文物典藏｣、小林紀念公園→高雄杉林大愛園區(假日市集)→旗山老街→高雄火車站。早餐：自理。 午餐：布農族風味餐。 晚餐：自理。","全年","兩個太陽一個月亮","1.那瑪夏區：那瑪夏區舊名瑪雅，原為南鄒族卡那卡那富群居住地，日治時期稱為「瑪雅峻」，二戰後稱為「瑪雅鄉」，1957年間，鄉名更改為「三民鄉」，族人常開玩笑說這裡是國父第一個完成三民主義的地方，2008年1月1日正名｢那瑪夏鄉｣，之後配合高雄市改制，升格為瑪夏區，此處擁有多元的族群，包含鄒族、布農族、排灣族、泰雅族及客家和福佬人，交織出不同的文化藝術，尤其原住民的傳統特色文化，依靠著全臺第一條生態保育河川、養育族人的楠梓仙溪，孕育豐富那瑪夏的文化瑰寶生命力。","南橫三星遊客服務中心，07-6752818。海舒兒文化陶藝工作室 07-6701566。","5月布農族射耳祭、農曆9月15日夜祭.","鄒族：Yokeoasuu你好Aveoveoyu謝謝布農族 ：Mihumisang你好Uninang謝謝","15人","約3500元","李元新民宿 、巴尼蓋休閒農莊民宿、呼頌民宿渡假村、麥布拉庫民宿、寧妮谷民宿","2012拜訪部落"
82,"20130601","魯凱下三社--茂林原住民人文三黑產業","魯凱族","高雄市茂林區","1. 國道3號下田寮交流道，接省道臺28線東行，經旗山市區過旗尾橋，至美濃後循延平二路可抵。2. 國道3號經燕巢系統交流道，轉國道10號下旗山端直行，接鄉道高140線(旗屏一路)到底，右轉省道臺28線(延平二路、中興路、中華路) ，約10公里後可抵。","第一天 ：高雄左營高鐵站→竹子門發電廠(日據時期巴洛克式建築水力發電廠)→新威森林→新威大橋→情人谷→紫斑蝶生態園區→烏巴克工藝坊→石破天驚文創工作室 (重現萬山石雕的密碼)→多納高吊橋→多納部落。早餐 ：自理。午餐 ：美綠園生態農場客家風味。 晚餐 ：魯凱風味餐。第二天 ：多納部落巡禮(會呼吸的石板屋、勇士之路、祭人頭臺、紅塵峽谷)→多納古戰場(1903年屯子役事件、族人聖戰之地德德山)→茂林小米酒之家→六龜育幼院(楊恩典的故事)→高雄左營高鐵站。早餐 ：自理。午餐 ：多納在地風味或扇平山莊晚餐 ：自理。","全年","兩個太陽一個月亮","1.茂林三黑產業 ：茂林的紫班蝶、萬山岩雕、多納黑米祭為茂林新興三黑產業。結合自然生態、神秘萬山岩雕工藝、傳統與創新的黑米祭，搭配傳統祭儀Tapakarhavae（稻米祭）造就多納獨有的黑米文化，推動原鄉產業的活力與青年回鄉在地就業。","高雄縣茂林社區發展協會(07)680-1996。高雄縣茂林鄉多納社區發展協會/洪柳治理事長0975-067026。","10月小米祭、11月多納村黑米祭","Margagi musu你好Takdrengesu謝謝","30人","約4000元","友生民宿 、古木拉民宿渡假村、阿拉斯民宿、多納民宿、嘟芭灣休閒農場","2012拜訪部落"
83,"20130601","山中古國--阿禮.霧台石板藝術村","魯凱族","屏東縣霧台鄉","1. 南二高(3號)→至長治交流道下→往三地門鄉(臺24線)即可到達。2. 中山高(1號)→於新市上(8號)東西向道路 →接南二高(3號)→至長治交流道下→往三地門鄉(臺24線)即可到達。 ","第一天 ：高鐵(左營)→三地門→三德檢查哨→阿禮部落巡禮(天主教堂、 頭目家屋廣場、Sasala古道生態步道)→阿禮古國晚宴→魯凱族傳統歌謠傳唱。早餐 ：自理。午餐 ：在地美味。晚餐 ：阿禮傳統風味。第二天 ：早安賞鳥、看山、看雲、大口呼吸→阿魯灣古道井布山(為過去阿禮、舊好茶兩部落血源一家親的姻緣路)→霧臺石板藝術村巡禮→高雄(左營)。早餐 ：活力早餐。 午餐 ：部落風味。晚餐 ：自理。","全年","二個太陽一個月亮","1. 雲端上的新故鄉--阿禮 ：阿禮是由巴里歐社區、巫瑪巫瑪社區構成，太麻里溪、臺東嘉明湖、知本溪、大小鬼湖、舊好茶、阿魯灣古道…，一條條古道、獵徑從耆老及獵人游移的指間，處處是飛禽走獸、魚蝦、原始檜木林等萬物百態，在老人的記憶中豁然出現，可想像當年族人的生活是有多麼豐富。","蘇木古民宿 古秀惠 08-7902141 0912-786619。阿禮部落行程邱鈺惠 0930-113-383。屏東科技大學森林系社區林業研究室08-7740475。","7月 小米祭","Margagi musu你好Takdrengesu謝謝","6人","約4200元","蘇木古民宿、拉灣民宿、大頭目民宿、阿明的店","2012拜訪部落"
84,"20130601","等待飛魚--蘭嶼雅美族旅人日記","雅美族","臺東縣蘭嶼鄉","到蘭嶼可以選擇海路或空路，海路可以從臺東的富岡漁港搭乘交通船前往，直達航程約2.5個小時，空路於臺東豐年機場搭19人座的雙螺旋槳的丹尼爾型飛機往蘭嶼。","第一天：臺東富崗碼頭搭船往蘭嶼(船行約2.5小時)→機車環島(漁人村、野銀社地下屋建築美學與傳統智慧、耆老吟唱古調、東清村、雙獅岩、情人洞、朗島村、蘭嶼燈塔、黃昏市集)→紅頭村海灘賞夕陽 。宿:蘭嶼民宿。早餐:自理 。午餐:海老人海鮮餐廳。晚餐:無餓不坐餐廳。第二天 ：東清灣觀日出→健行遊天池、回音谷（雅美族嚮導帶領觀賞熱帶雨林生態、雅美族造舟民俗植物）→自費活動（浮潛、拼板舟體驗）→青青草原→夜間觀察(夜訪角鴞、潮間帶生態)。宿:蘭嶼民宿 。早餐:阿力給 。午餐:蝴蝶蘭(紅頭村)。晚餐：浪島丁字褲BBQ。 第三天 ：雅美族工藝家（駐村藝術家）→蘭恩文物館→開元港→臺東。早餐:自理。午餐:自理。晚餐:自理。","3月至9月","三個太陽二個月亮","1. 探訪女人的芋頭田、男人的海世界；智慧與自然的地下屋-自然與空間的美；拼板舟、靠背石、重視生態與永續的人文故事。2. 全程邀由雅美族人解說蘭嶼文化、生態旅遊、部落尋訪，深入認識雅美族的世界。3. 蘭嶼風味餐 ：地瓜、芋頭、飛魚、深海魚、原漢風味。4. 拜訪駐村藝術家或文學家。5.住宿蘭嶼特色民宿，讓您深入體驗蘭嶼風情。","周朝清(外號 ：夏曼21) 0911-224317. 黑妞部落民宿(野銀)089-73296。","飛魚季3-6月、船祭、6月收穫祭","Akokay你好Ayoy謝謝","20人","約12000 元","蘭嶼特色民宿(老鍋蓋、飛魚文化館、藍海屋、飛魚故鄉、主恩、蘭恩文教基金會)、蘭嶼別館、蘭嶼海洋國際大飯店","2012拜訪部落"
85,"20130601","不一樣的月光--南澳人文記事一日遊","泰雅族","宜蘭縣南澳鄉","國道五號 ：由國道一號(中山高)至汐止系統交流道轉走國道五號(北宜高速公路)→過雪山隧道由頭城交流道下，轉省道2線，接臺9線由漢本隧道至溪邊停車場，再攀爬步行蜿蜒山谷小徑約十多分鐘即可到達澳花瀑布。","和平站或漢本站→澳花部落(澳花瀑布、澳花國小)→武塔部落(沙韻橋、紀念碑、武塔國小)→金岳村(林慶臺的故鄉、沙韻紀念鐘、金岳基督長老教會)→南澳泰雅博物館→南澳泰雅鞋創意工坊+南澳咖啡→南澳火車站。","全年","一個太陽","1.澳花部落 ：這是賽德克巴萊飾演年青莫那魯道-大慶的故鄉，澳花瀑布是大慶最喜愛在其間戲水爬山的後花園，澳花國小成立於1927年，日據時期稱之為?臺北州蘇澳大濁水番童教育所?，校內有一棵600年的老樟樹，大慶的母校也有大家相同的童年記憶。2.金岳部落 ：發生於1935年泰雅族少女沙韻，為護送老師下山不慎落水失終。故事傳唱至今，舊部落已遷移至現在的金岳村，林慶臺未出道前在部落的教會傳福音，這裏有美的村莊與感動的故事。3.南澳泰雅鞋創意工坊 ：南澳是2011年原民會永續部落產業輔導社區。泰雅鞋的源起是社區發展協張遴，無意中結識了在臺灣、印尼及大陸從事製鞋業已有41年的製鞋師傅陳衛國，於是南澳社區成立了「泰雅創意製鞋工坊」，全力發展泰雅手工鞋，將泰雅族的圖騰與編織技術表現於上，發展在地特色，並為社區創造在地就業。","宜蘭縣南澳鄉金岳社區發展協會陳芃伶 (03)9984313。南澳建華冰店 03-9355385。宜蘭縣南澳鄉南澳社區發展協會理事長 張遴 (03)9981611。","8月感恩節","Lokah su你好Mhuway su謝謝你","15人","約1500元","無","2012拜訪部落"
86,"20120601","台灣原住民族文化園區建議行程─一日遊-1","","屏東縣","","台灣原住民族文化園區─三地門藝術村","","","","","","","","","",""
87,"20120601","台灣原住民族文化園區建議行程─一日遊-2","","屏東縣","","台灣原住民族文化園區─賽嘉國際航空公園","","","","","","","","","",""
88,"20120601","台灣原住民族文化園區建議行程─一日遊-3","","屏東縣","","台灣原住民族文化園區─好茶森林遊樂區","","","","","","","","","",""
89,"20120601","台灣原住民族文化園區建議行程─一日遊-4","","屏東縣","涼山瀑布 ：1. 自行開車 ：台24線往山地門方向→接185線道→涼山瀑布。2.大眾運輸 ：屏東客運往三地門方向→隘寮站下車→步行20分鐘→涼山瀑布。","台灣原住民族文化園區─涼山瀑布─舊筏灣部落生活體驗","","","","","","","","","",""
90,"20120601","台灣原住民族文化園區建議行程─二日遊-1","","屏東縣","","第一日 ：三地門藝術村─德文─霧台第二日 ：霧台─台灣原住民族文化園區─屏東市","","","","","","","","","",""
91,"20120601","台灣原住民族文化園區建議行程─二日遊-2","","屏東縣","","第一日 ：台灣原住民族文化園區─好茶森林遊樂區第二日 ：好茶森林遊樂區─三地村藝術村","","","","","","","","","",""
92,"20120601","台灣原住民族文化園區建議行程─三日遊-1","","屏東縣、高雄市","","第一日 ：台灣原住民族文化園區─德文─霧台第二日 ：霧台─三地門藝術村─賽嘉國際航空公園─大津瀑布第三日 ：茂林國家風景區─美濃客家村","","","","","","","","","",""
93,"20120601","台灣原住民族文化園區建議行程─三日遊-2","","屏東縣","","第一日 ：大鵬灣國家風景區─小琉球風景區─墾丁第二日 ：墾丁國家公園─三地門霧台第三日 ：涼山瀑布─舊筏灣部落生活體驗","","","","","","","","","",""
94,"20110601","伊屯社區遊覽","","","","部落巡禮(探訪南排灣族龜甲屋)→傳統手工藝品製作體驗→溯溪(伊屯野溪)→傳統美食製作→享用原住民風味餐; 伊屯社區遊覽價目表：成人500元， 小孩250元， 團體15人以上另有優惠(8折以下); ＊若有住宿另安排部落民宿：1→→3(人1間)1500元(含晚餐)， 3→→6(人1間)2000元(含晚餐)","","","","伊屯社區發展協會","","","","","",""
95,"20110601","排灣族北葉部落一日遊深度生態之旅","","","交通資訊 ：有屏24線、麟洛線、內埔線、沿山線匯入、距南二高約10分鐘車程. 建議路線 ：1. 屏東>麟洛>內埔>龍泉>原住民文化園區; 2. 屏東(122號省道)>長治>原住民文化園區。 自行開車之民眾可利用沿山公路自枋寮鄉匏子原 (台九線靠近往舂日鄉十字路口)>來義>泰武>瑪家鄉境>內埔鄉水門村>三地門鄉>賽嘉航空公園，>樹鄉大津終點出口.","白賓山健行登山運動→禮納里部落(Rinari)巡禮及體驗森林浴啡白賓山驛站原住民傳統風味餐及休憩→藝品區DIY教室及北葉部落藝術街巡禮→白賓山驛站景觀台沐浴夕陽茗飲咖啡→快樂歸賦 ","","","","北葉社區發展協會","","","","","",""
96,"20110601","排灣族北葉部落深度生態之旅","","","","欣賞原住民各族群傳統舞蹈→進駐瑪沙露飯店→用餐與午休→遊園區欣賞原住民傳統建築文物與體驗森林浴→盥洗與休息→北葉部落→自賓山驛站用餐→在地咖啡DIY→欣賞高屏平原夜間景色→體驗夜間自然蟲鳴鳥叫聲→瑪沙露飯店→選項1→ 健行登山運動; 選項2→原住民傳統工藝品; 選項3→部落巡禮→享用原住民傳統風味餐→原住民傳統工藝DIY與品味在地咖啡茶點→北葉部落巡禮→快樂回家","","","","北葉社區發展協會","","","","","",""
97,"20110601"," 雲霧山林--魯凱風情豐收節套裝遊程","","屏東縣三地門鄉","","第一天：山德哨辦入山證→遊客中心迎賓活動→丁秋英工作坊→TUTURANE瀑布→賞悅站特色餐廳享用午餐→岩板巷藝術街→杜巴男石板屋民宿→獵王之家→督姆古萊工作室→百合民宿→霧台基督長老教會→卡拉瓦民宿→達拉拔樣頭目家→魯凱文物館→夢想家民宿、特色民宿養精蓄銳→夜間活動 ：星星堆滿天或參與青年之夜; 第二天：山腳點特色餐廳享用美食→神山瀑布→神山愛玉→獵人便當→收拾行李賦歸","","","","霧台社區發展協會","","","","","",""
98,"20110601","雲霧山林--魯凱風情櫻花祭套裝遊程","","屏東縣三地門鄉","","第一天 ：山德哨辦入山證→遊客中心迎賓活動→丁秋英工作坊→TUTURANE瀑布→賞悅站特色餐廳享用午餐→沿路欣賞野生櫻花→岩板巷藝術街→杜巴男石板屋民宿→獵王之家→督姆古萊工作室→百合民宿→霧台基督長老教會→卡拉瓦民宿→達拉拔樣頭目家→魯凱文物館→夢想家民宿→特色民宿養精蓄銳→夜間活動 ：星星堆滿天或參與青年之夜;第二天 ：山腳點特色餐廳享用美食→神山瀑布→神山愛玉→獵人便當→收拾行李賦歸","","","","霧台社區發展協會","","","","","",""
